Chart1_SeriesGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_X,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_Y,,,,,,,
School: AMES VISUAL/PERF. ARTS (4250),2013,416,*,*,*,*,*,*,*,*
School: ASHLAND ELEM. AND BR. (4060),2017,267,*,*,*,*,*,*,*,*
School: ASHLAND ELEM. AND BR. (4060),2016,292,*,*,*,*,*,*,*,*
School: ASHLAND ELEM. AND BR. (4060),2015,329,*,*,*,*,*,*,*,*
School: ASHLAND ELEM. AND BR. (4060),2014,341,*,*,*,*,*,*,*,*
School: ASHLAND ELEM. AND BR. (4060),2013,336,*,*,*,*,*,*,*,*
School: BEAUMONT CTE HIGH SCHOOL (1250),2017,575,*,73.7,6.8,*,*,*,16.3,*
School: BEAUMONT CTE HIGH SCHOOL (1250),2016,456,*,75.9,12.5,*,*,*,7,*
School: BEAUMONT CTE HIGH SCHOOL (1250),2015,442,*,90,*,*,*,*,7.5,*
School: BEAUMONT CTE HIGH SCHOOL (1250),2014,63,*,*,*,*,*,*,*,82.3
School: BEAUMONT CTE HIGH SCHOOL (1250),2013,152,*,*,*,*,*,*,*,91.9
School: BRYAN HILL ELEM. (4180),2017,180,*,*,*,*,*,*,*,*
School: BRYAN HILL ELEM. (4180),2016,154,*,*,*,*,*,*,*,*
School: BRYAN HILL ELEM. (4180),2015,184,*,*,*,*,*,*,*,*
School: BRYAN HILL ELEM. (4180),2014,170,*,*,*,*,*,*,*,*
School: BRYAN HILL ELEM. (4180),2013,187,*,*,*,*,*,*,*,*
School: BUDER ELEM. (4200),2017,320,*,33.4,*,*,*,*,59.4,*
School: BUDER ELEM. (4200),2016,342,*,33.3,6.1,*,*,*,58.8,*
School: BUDER ELEM. (4200),2015,325,*,31.4,6.5,*,*,*,60,*
School: BUDER ELEM. (4200),2014,315,*,30.8,*,*,*,*,61,88.4
School: BUDER ELEM. (4200),2013,349,*,25.5,*,*,*,*,67.6,86.2
School: BUSCH MS CHARACTER & ATHLETICS (3050),2017,357,*,52.9,11.5,*,*,*,31.9,*
School: BUSCH MS CHARACTER & ATHLETICS (3050),2016,346,*,44.8,12.1,*,*,*,37.9,*
School: BUSCH MS CHARACTER & ATHLETICS (3050),2015,349,*,46.7,8.9,*,*,*,39.8,*
School: BUSCH MS CHARACTER & ATHLETICS (3050),2014,330,*,38.8,9.1,*,*,*,46.7,83.6
School: BUSCH MS CHARACTER & ATHLETICS (3050),2013,353,*,41.4,9.1,*,*,*,45.9,83.5
School: CARDINAL GLENNON HOSPITAL (6280),2016,*,*,*,*,*,*,*,*,*
School: CARDINAL GLENNON HOSPITAL (6280),2015,*,*,*,*,*,*,*,*,*
School: CARDINAL GLENNON HOSPITAL (6280),2014,*,*,*,*,*,*,*,*,*
School: CARDINAL GLENNON HOSPITAL (6280),2013,*,*,*,*,*,*,*,*,*
School: CARNAHAN SCH. OF THE FUTURE (1500),2017,357,*,93,*,*,*,*,*,*
School: CARNAHAN SCH. OF THE FUTURE (1500),2016,383,*,91.1,*,*,*,*,*,*
School: CARNAHAN SCH. OF THE FUTURE (1500),2015,414,*,89.1,*,*,*,*,*,*
School: CARNAHAN SCH. OF THE FUTURE (1500),2014,374,*,86.6,*,*,*,*,8.8,85
School: CARNAHAN SCH. OF THE FUTURE (1500),2013,344,*,87.8,*,*,*,*,7.8,83.8
School: CARR LANE VPA MIDDLE (3070),2017,545,*,95,*,*,*,*,*,*
School: CARR LANE VPA MIDDLE (3070),2016,563,*,95,*,*,*,*,*,*
School: CARR LANE VPA MIDDLE (3070),2015,557,*,93.7,*,*,*,*,*,*
School: CARR LANE VPA MIDDLE (3070),2014,610,*,92.1,*,*,*,*,*,93.1
School: CARR LANE VPA MIDDLE (3070),2013,559,*,89.8,*,*,*,*,*,*
School: CENTRAL VISUAL/PERF. ARTS HIGH (1860),2017,411,*,80.3,*,*,*,*,12.9,*
School: CENTRAL VISUAL/PERF. ARTS HIGH (1860),2016,408,*,82.1,*,*,*,*,12.5,*
School: CENTRAL VISUAL/PERF. ARTS HIGH (1860),2015,396,*,81.8,*,*,*,*,13.1,*
School: CENTRAL VISUAL/PERF. ARTS HIGH (1860),2014,402,*,82.6,*,*,*,*,14.4,85.4
School: CENTRAL VISUAL/PERF. ARTS HIGH (1860),2013,388,*,76.3,*,*,*,*,20.1,79.1
School: CLAY ELEM. (4360),2017,140,*,*,*,*,*,*,*,*
School: CLAY ELEM. (4360),2016,116,*,*,*,*,*,*,*,*
School: CLAY ELEM. (4360),2015,164,*,*,*,*,*,*,*,*
School: CLAY ELEM. (4360),2014,145,*,*,*,*,*,*,*,*
School: CLAY ELEM. (4360),2013,139,*,*,*,*,*,*,*,*
School: CLEVELAND NJROTC ACADEMY (1440),2017,306,*,71.6,9.5,*,*,*,16,*
School: CLEVELAND NJROTC ACADEMY (1440),2016,269,*,71,9.3,*,*,*,16.7,*
School: CLEVELAND NJROTC ACADEMY (1440),2015,290,*,74.1,7.9,*,*,*,15.2,*
School: CLEVELAND NJROTC ACADEMY (1440),2014,299,*,73.6,*,*,*,*,17.7,80.8
School: CLEVELAND NJROTC ACADEMY (1440),2013,279,*,74.6,*,*,*,*,15.8,85.3
School: COLE ELEM. (4400),2017,357,*,*,*,*,*,*,*,*
School: COLE ELEM. (4400),2016,352,*,*,*,*,*,*,*,*
School: COLE ELEM. (4400),2015,382,*,*,*,*,*,*,*,*
School: COLE ELEM. (4400),2014,339,*,*,*,*,*,*,*,*
School: COLE ELEM. (4400),2013,299,*,*,*,*,*,*,*,93
School: COLLEGIATE SCHOOL OF MED/BIO (1510),2017,224,13.4,50.4,*,*,*,*,29,*
School: COLLEGIATE SCHOOL OF MED/BIO (1510),2016,174,13.8,53.4,*,*,*,*,27.6,*
School: COLLEGIATE SCHOOL OF MED/BIO (1510),2015,110,19.1,56.4,*,*,*,*,21.8,*
School: COLLEGIATE SCHOOL OF MED/BIO (1510),2014,61,24.6,44.3,*,*,*,*,29.5,47.4
School: COLUMBIA ELEM. COMM. ED. CTR. (4420),2017,157,*,*,*,*,*,*,*,*
School: COLUMBIA ELEM. COMM. ED. CTR. (4420),2016,125,*,*,*,*,*,*,*,*
School: COLUMBIA ELEM. COMM. ED. CTR. (4420),2015,182,*,*,*,*,*,*,*,*
School: COLUMBIA ELEM. COMM. ED. CTR. (4420),2014,221,*,*,*,*,*,*,*,93.6
School: COLUMBIA ELEM. COMM. ED. CTR. (4420),2013,198,*,*,*,*,*,*,*,*
School: COMMUNITY ACCESS JOB TRAINING (1222),2017,138,*,74.6,*,*,*,*,19.6,*
School: COMMUNITY ACCESS JOB TRAINING (1222),2016,143,*,72.7,*,*,*,*,18.9,*
School: COMMUNITY ACCESS JOB TRAINING (1222),2015,136,*,73.5,*,*,*,*,19.9,*
School: COMMUNITY ACCESS JOB TRAINING (1222),2014,119,*,68.9,*,*,*,*,26.1,87.5
School: COMMUNITY ACCESS JOB TRAINING (1222),2013,132,*,78.8,*,*,*,*,15.9,84.4
School: COMPTON-DREW ILC MIDDLE (3390),2017,476,*,82.6,6.9,*,*,*,8,*
School: COMPTON-DREW ILC MIDDLE (3390),2016,481,*,83.8,7.7,*,*,*,7.3,*
School: COMPTON-DREW ILC MIDDLE (3390),2015,496,*,83.1,*,*,*,*,9.3,*
School: COMPTON-DREW ILC MIDDLE (3390),2014,522,*,80.7,*,*,*,*,10.3,86.5
School: COMPTON-DREW ILC MIDDLE (3390),2013,535,*,77.9,*,*,*,*,12.5,82.4
School: COTE BRILLIANTE ELEM. (4440),2017,138,*,*,*,*,*,*,*,*
School: COTE BRILLIANTE ELEM. (4440),2016,185,*,*,*,*,*,*,*,*
School: COTE BRILLIANTE ELEM. (4440),2015,235,*,*,*,*,*,*,*,*
School: COTE BRILLIANTE ELEM. (4440),2014,216,*,*,*,*,*,*,*,*
School: COTE BRILLIANTE ELEM. (4440),2013,175,*,*,*,*,*,*,*,*
School: DEWEY SCH.-INTERNAT'L. STUDIES (4470),2017,369,*,80.5,8.1,*,*,*,7.3,*
School: DEWEY SCH.-INTERNAT'L. STUDIES (4470),2016,381,*,79,9.7,*,*,*,8.4,*
School: DEWEY SCH.-INTERNAT'L. STUDIES (4470),2015,371,*,81.4,10,*,*,*,7.5,*
School: DEWEY SCH.-INTERNAT'L. STUDIES (4470),2014,378,*,78,10.8,*,*,*,10.3,87.6
School: DEWEY SCH.-INTERNAT'L. STUDIES (4470),2013,418,*,74.4,11.7,*,*,*,12.4,86.8
School: DUNBAR AND BR. (4480),2017,148,*,*,*,*,*,*,*,*
School: DUNBAR AND BR. (4480),2016,150,*,*,*,*,*,*,*,*
School: DUNBAR AND BR. (4480),2015,194,*,*,*,*,*,*,*,*
School: DUNBAR AND BR. (4480),2014,203,*,*,*,*,*,*,*,*
School: DUNBAR AND BR. (4480),2013,202,*,*,*,*,*,*,*,*
"School: EARL NANCE, SR. ELEM. (5610)",2017,274,*,*,*,*,*,*,*,*
"School: EARL NANCE, SR. ELEM. (5610)",2016,293,*,*,*,*,*,*,*,*
"School: EARL NANCE, SR. ELEM. (5610)",2015,335,*,*,*,*,*,*,*,*
"School: EARL NANCE, SR. ELEM. (5610)",2014,383,*,*,*,*,*,*,*,94.2
"School: EARL NANCE, SR. ELEM. (5610)",2013,361,*,*,*,*,*,*,*,*
School: ELIAS MICHAEL ELEM. (5520),2017,47,*,85.1,6.4,*,*,*,8.5,*
School: ELIAS MICHAEL ELEM. (5520),2016,55,*,83.6,*,*,*,*,10.9,*
School: ELIAS MICHAEL ELEM. (5520),2015,56,*,82.1,*,*,*,*,12.5,*
School: ELIAS MICHAEL ELEM. (5520),2014,58,*,81,8.6,*,*,*,8.6,91.4
School: ELIAS MICHAEL ELEM. (5520),2013,50,*,78,8,*,*,*,12,90.4
School: FANNING MIDDLE COMMUNITY ED. (3140),2017,283,*,92.2,*,*,*,*,*,*
School: FANNING MIDDLE COMMUNITY ED. (3140),2016,356,*,89.9,*,*,*,*,6.5,*
School: FANNING MIDDLE COMMUNITY ED. (3140),2015,375,*,88.3,*,*,*,*,*,*
School: FANNING MIDDLE COMMUNITY ED. (3140),2014,389,6.7,85.9,*,*,*,*,*,*
School: FANNING MIDDLE COMMUNITY ED. (3140),2013,340,6.5,84.7,*,*,*,*,*,*
School: FARRAGUT ELEM. (4580),2017,150,*,*,*,*,*,*,*,*
School: FARRAGUT ELEM. (4580),2016,144,*,*,*,*,*,*,*,*
School: FARRAGUT ELEM. (4580),2015,164,*,*,*,*,*,*,*,*
School: FARRAGUT ELEM. (4580),2014,185,*,*,*,*,*,*,*,92.8
School: FARRAGUT ELEM. (4580),2013,177,*,*,*,*,*,*,*,*
School: FORD-FORD BR. ELEM. COMM. ED. (4630),2017,229,*,*,*,*,*,*,*,*
School: FORD-FORD BR. ELEM. COMM. ED. (4630),2016,233,*,*,*,*,*,*,*,*
School: FORD-FORD BR. ELEM. COMM. ED. (4630),2015,297,*,*,*,*,*,*,*,*
School: FORD-FORD BR. ELEM. COMM. ED. (4630),2014,249,*,*,*,*,*,*,*,*
School: FORD-FORD BR. ELEM. COMM. ED. (4630),2013,207,*,*,*,*,*,*,*,*
School: FROEBEL ELEM. (4660),2017,258,*,93,*,*,*,*,*,*
School: FROEBEL ELEM. (4660),2016,254,*,*,*,*,*,*,*,*
School: FROEBEL ELEM. (4660),2015,316,*,93,*,*,*,*,*,*
School: FROEBEL ELEM. (4660),2014,350,*,92.6,*,*,*,*,*,*
School: FROEBEL ELEM. (4660),2013,326,*,87.4,*,*,*,*,*,*
School: GATEWAY ELEM. (4730),2017,482,*,*,*,*,*,*,*,*
School: GATEWAY ELEM. (4730),2016,522,*,95,*,*,*,*,*,*
School: GATEWAY ELEM. (4730),2015,511,*,94.3,*,*,*,*,*,*
School: GATEWAY ELEM. (4730),2014,540,*,94.3,*,*,*,*,*,93.3
School: GATEWAY ELEM. (4730),2013,545,*,93.8,*,*,*,*,*,93.1
School: GATEWAY HIGH (1220),2017,"1,104",8.2,61.6,11.5,*,*,*,18.4,*
School: GATEWAY HIGH (1220),2016,"1,148",9.3,60.7,9.9,*,*,*,19.8,*
School: GATEWAY HIGH (1220),2015,"1,121",8.7,59.6,8,*,*,*,23.5,*
School: GATEWAY HIGH (1220),2014,"1,158",9,59.3,7.3,*,*,*,24.1,80.1
School: GATEWAY HIGH (1220),2013,"1,177",8.8,59.9,*,*,*,*,25.1,81.9
School: GATEWAY MIDDLE (3230),2017,513,*,89.5,*,*,*,*,*,*
School: GATEWAY MIDDLE (3230),2016,564,*,89.4,*,*,*,*,*,*
School: GATEWAY MIDDLE (3230),2015,559,*,90,*,*,*,*,*,*
School: GATEWAY MIDDLE (3230),2014,592,*,87.8,*,*,*,*,*,92
School: GATEWAY MIDDLE (3230),2013,569,*,83.3,*,*,*,*,7.6,91.4
School: GRISCOM JUVENILE DETENTION CTR (1015),2017,22,*,*,*,*,*,*,*,*
School: GRISCOM JUVENILE DETENTION CTR (1015),2016,26,*,*,*,*,*,*,*,*
School: GRISCOM JUVENILE DETENTION CTR (1015),2015,12,*,91.7,*,*,*,*,8.3,*
School: HAMILTON ELEM. COMMUNITY ED. (4780),2017,288,*,*,*,*,*,*,*,*
School: HAMILTON ELEM. COMMUNITY ED. (4780),2016,283,*,*,*,*,*,*,*,*
School: HAMILTON ELEM. COMMUNITY ED. (4780),2015,350,*,*,*,*,*,*,*,*
School: HAMILTON ELEM. COMMUNITY ED. (4780),2014,366,*,*,*,*,*,*,*,*
School: HAMILTON ELEM. COMMUNITY ED. (4780),2013,323,*,*,*,*,*,*,*,*
School: HENRY ELEM. (4880),2017,228,*,*,*,*,*,*,*,*
School: HENRY ELEM. (4880),2016,180,*,*,*,*,*,*,*,*
School: HENRY ELEM. (4880),2015,182,*,*,*,*,*,*,*,*
School: HENRY ELEM. (4880),2014,181,*,*,*,*,*,*,*,*
School: HENRY ELEM. (4880),2013,215,*,*,*,*,*,*,*,*
School: HERZOG ELEM. (4900),2017,272,*,*,*,*,*,*,*,*
School: HERZOG ELEM. (4900),2016,298,*,*,*,*,*,*,*,*
School: HERZOG ELEM. (4900),2015,401,*,*,*,*,*,*,*,*
School: HERZOG ELEM. (4900),2014,389,*,*,*,*,*,*,*,94.9
School: HERZOG ELEM. (4900),2013,372,*,*,*,*,*,*,*,*
School: HICKEY ELEM. (4890),2017,174,*,*,*,*,*,*,*,*
School: HICKEY ELEM. (4890),2016,157,*,*,*,*,*,*,*,*
School: HICKEY ELEM. (4890),2015,196,*,*,*,*,*,*,*,*
School: HICKEY ELEM. (4890),2014,212,*,*,*,*,*,*,*,*
School: HICKEY ELEM. (4890),2013,187,*,*,*,*,*,*,*,*
School: HODGEN ELEM. (4920),2017,203,*,*,*,*,*,*,*,*
School: HODGEN ELEM. (4920),2016,223,*,*,*,*,*,*,*,*
School: HODGEN ELEM. (4920),2015,269,*,*,*,*,*,*,*,*
School: HODGEN ELEM. (4920),2014,280,*,*,*,*,*,*,*,*
School: HODGEN ELEM. (4920),2013,257,*,94.2,*,*,*,*,*,94.3
School: HUMBOLDT ACAD OF HIGHER LRNING (4960),2017,215,*,92.1,*,*,*,*,6,*
School: HUMBOLDT ACAD OF HIGHER LRNING (4960),2016,262,*,93.1,*,*,*,*,*,*
School: HUMBOLDT ACAD OF HIGHER LRNING (4960),2015,315,*,92.7,*,*,*,*,*,*
School: HUMBOLDT ACAD OF HIGHER LRNING (4960),2014,298,*,89.3,*,*,*,*,8.4,88.9
School: HUMBOLDT ACAD OF HIGHER LRNING (4960),2013,280,*,86.8,*,*,*,*,10.4,83.9
School: JEFFERSON ELEM. (5020),2017,186,*,*,*,*,*,*,*,*
School: JEFFERSON ELEM. (5020),2016,187,*,*,*,*,*,*,*,*
School: JEFFERSON ELEM. (5020),2015,203,*,*,*,*,*,*,*,*
School: JEFFERSON ELEM. (5020),2014,214,*,*,*,*,*,*,*,*
School: JEFFERSON ELEM. (5020),2013,217,*,*,*,*,*,*,*,*
School: KENNARD/CLASSICAL JR. ACAD. (5030),2017,305,7.9,23.3,*,*,*,*,66.2,*
School: KENNARD/CLASSICAL JR. ACAD. (5030),2016,326,9.5,27,*,*,*,*,61.3,*
School: KENNARD/CLASSICAL JR. ACAD. (5030),2015,357,9.2,30.5,*,*,*,*,58.5,*
School: KENNARD/CLASSICAL JR. ACAD. (5030),2014,369,8.4,31.4,*,*,*,*,58.5,26.1
School: KENNARD/CLASSICAL JR. ACAD. (5030),2013,344,6.1,36.3,*,*,*,*,56.1,27.1
School: LACLEDE ELEM. (5060),2017,175,*,*,*,*,*,*,*,*
School: LACLEDE ELEM. (5060),2016,206,*,*,*,*,*,*,*,*
School: LACLEDE ELEM. (5060),2015,280,*,*,*,*,*,*,*,*
School: LACLEDE ELEM. (5060),2014,248,*,*,*,*,*,*,*,*
School: LACLEDE ELEM. (5060),2013,212,*,*,*,*,*,*,*,*
School: LANGSTON MIDDLE (3240),2017,182,*,*,*,*,*,*,*,*
School: LANGSTON MIDDLE (3240),2016,228,*,*,*,*,*,*,*,*
School: LANGSTON MIDDLE (3240),2015,282,*,*,*,*,*,*,*,*
School: LANGSTON MIDDLE (3240),2014,278,*,*,*,*,*,*,*,*
School: LANGSTON MIDDLE (3240),2013,304,*,*,*,*,*,*,*,*
School: LEXINGTON ELEM. (5100),2017,337,*,*,*,*,*,*,*,*
School: LEXINGTON ELEM. (5100),2016,328,*,*,*,*,*,*,*,*
School: LEXINGTON ELEM. (5100),2015,339,*,*,*,*,*,*,*,*
School: LEXINGTON ELEM. (5100),2014,321,*,*,*,*,*,*,*,*
School: LEXINGTON ELEM. (5100),2013,256,*,*,*,*,*,*,*,*
School: LONG MIDDLE COMMUNITY ED. CTR. (3260),2017,193,7.3,55.4,11.9,*,*,*,25.4,*
School: LONG MIDDLE COMMUNITY ED. CTR. (3260),2016,210,11,56.2,8.1,*,*,*,24.8,*
School: LONG MIDDLE COMMUNITY ED. CTR. (3260),2015,239,13.8,46.4,10.5,*,*,*,29.3,*
School: LONG MIDDLE COMMUNITY ED. CTR. (3260),2014,245,11.4,41.2,7.8,*,*,*,39.6,90.1
School: LONG MIDDLE COMMUNITY ED. CTR. (3260),2013,258,9.7,46.9,7,*,*,*,36.4,92.6
School: L'OUVERTURE MIDDLE (3280),2014,*,*,*,*,*,*,*,*,*
School: L'OUVERTURE MIDDLE (3280),2013,204,*,*,*,*,*,*,*,*
School: LYON AT BLOW ELEM. (5180),2017,330,*,85.8,*,*,*,*,11.2,*
School: LYON AT BLOW ELEM. (5180),2016,380,*,81.6,*,*,*,*,14.7,*
School: LYON AT BLOW ELEM. (5180),2015,387,*,84.5,*,*,*,*,12.7,*
School: LYON AT BLOW ELEM. (5180),2014,389,*,80.7,*,*,*,*,15.7,*
School: LYON AT BLOW ELEM. (5180),2013,352,*,74.1,*,*,*,*,21.3,94
School: MALLINCKRODT A.B.I. ELEM. (5240),2017,255,*,27.8,*,*,*,*,67.5,*
School: MALLINCKRODT A.B.I. ELEM. (5240),2016,255,*,31.8,*,*,*,*,61.6,*
School: MALLINCKRODT A.B.I. ELEM. (5240),2015,241,*,38.6,*,*,*,*,54.8,*
School: MALLINCKRODT A.B.I. ELEM. (5240),2014,250,*,45.6,*,*,*,*,47.6,43
School: MALLINCKRODT A.B.I. ELEM. (5240),2013,253,*,51.4,*,*,*,*,39.1,56.6
School: MANN ELEM. (5260),2017,254,11,58.7,14.6,*,*,*,15.7,*
School: MANN ELEM. (5260),2016,242,11.2,59.1,15.3,*,*,*,14.5,*
School: MANN ELEM. (5260),2015,310,10.6,65.2,13.2,*,*,*,11,*
School: MANN ELEM. (5260),2014,274,12.8,67.5,9.5,*,*,*,10.2,*
School: MANN ELEM. (5260),2013,222,16.7,62.6,10.4,*,*,*,10.4,*
School: MASON ELEM. (5340),2017,354,*,44.6,16.4,*,*,*,33.9,*
School: MASON ELEM. (5340),2016,402,*,51.2,15.2,*,*,*,30.3,*
School: MASON ELEM. (5340),2015,414,*,50.2,13.3,*,*,*,34.1,*
School: MASON ELEM. (5340),2014,393,*,42.2,13.5,*,*,*,40.5,84
School: MASON ELEM. (5340),2013,387,*,45.2,8.5,*,*,*,42.1,83
School: MCKINLEY CLASS. LEADERSHIP AC. (1570),2017,572,*,49.8,*,*,*,*,42,*
School: MCKINLEY CLASS. LEADERSHIP AC. (1570),2016,528,*,50.8,*,*,*,*,40.9,*
School: MCKINLEY CLASS. LEADERSHIP AC. (1570),2015,535,7.1,46.9,*,*,*,*,41.9,*
School: MCKINLEY CLASS. LEADERSHIP AC. (1570),2014,474,7.2,49.4,*,*,*,*,39,48.4
School: MCKINLEY CLASS. LEADERSHIP AC. (1570),2013,411,7.3,47.9,*,*,*,*,39.9,47.6
School: MERAMEC ELEM. (5500),2017,208,*,93.8,*,*,*,*,*,*
School: MERAMEC ELEM. (5500),2016,197,*,94.9,*,*,*,*,*,*
School: MERAMEC ELEM. (5500),2015,232,*,86.6,*,*,*,*,6.5,*
School: MERAMEC ELEM. (5500),2014,230,*,82.2,*,*,*,*,11.3,*
School: MERAMEC ELEM. (5500),2013,251,*,88,*,*,*,*,6.8,*
School: METRO HIGH (1560),2017,340,10.9,45.9,*,*,*,*,38.8,*
School: METRO HIGH (1560),2016,334,11.1,45.5,*,*,*,*,39.8,*
School: METRO HIGH (1560),2015,335,10.4,45.4,*,*,*,*,41.5,*
School: METRO HIGH (1560),2014,335,11.3,46,*,*,*,*,37.3,42.2
School: METRO HIGH (1560),2013,316,9.5,45.3,*,*,*,*,39.6,41.6
School: MILLER CAREER ACADEMY (1100),2017,593,*,*,*,*,*,*,*,*
School: MILLER CAREER ACADEMY (1100),2016,666,*,*,*,*,*,*,*,*
School: MILLER CAREER ACADEMY (1100),2015,685,*,*,*,*,*,*,*,*
School: MILLER CAREER ACADEMY (1100),2014,710,*,*,*,*,*,*,*,84.4
School: MILLER CAREER ACADEMY (1100),2013,788,*,*,*,*,*,*,*,85.3
School: MONROE ELEM. (5560),2017,263,*,94.7,*,*,*,*,*,*
School: MONROE ELEM. (5560),2016,292,*,94.2,*,*,*,*,*,*
School: MONROE ELEM. (5560),2015,311,*,91.3,*,*,*,*,7.1,*
School: MONROE ELEM. (5560),2014,310,*,92.6,*,*,*,*,7.1,*
School: MONROE ELEM. (5560),2013,311,*,89.7,*,*,*,*,9,*
School: MULLANPHY BOTANICAL GARDENS (5590),2017,363,*,73.3,11.8,*,*,*,9.6,*
School: MULLANPHY BOTANICAL GARDENS (5590),2016,377,*,73.5,10.3,*,*,*,11.1,*
School: MULLANPHY BOTANICAL GARDENS (5590),2015,379,*,73.6,11.9,*,*,*,11.3,*
School: MULLANPHY BOTANICAL GARDENS (5590),2014,403,*,79.4,9.2,*,*,*,8.7,93.1
School: MULLANPHY BOTANICAL GARDENS (5590),2013,418,*,80.6,7.7,*,*,*,10,88.2
School: NAHED CHAPMAN NEW AMERICAN ACA (4970),2017,308,11,37.7,10.7,*,*,*,40.6,*
School: NAHED CHAPMAN NEW AMERICAN ACA (4970),2016,196,14.3,50.5,21.4,*,*,*,13.8,*
School: OAK HILL ELEM. (5600),2017,234,8.1,47,15.8,*,*,*,29.1,*
School: OAK HILL ELEM. (5600),2016,268,9.7,48.5,14.2,*,*,*,27.2,*
School: OAK HILL ELEM. (5600),2015,314,9.9,55.4,15,*,*,*,19.7,*
School: OAK HILL ELEM. (5600),2014,324,12.3,50.9,14.8,*,*,*,21.9,*
School: OAK HILL ELEM. (5600),2013,362,13.8,48.9,14.1,*,*,*,23.2,*
School: PEABODY ELEM. (5620),2017,166,*,*,*,*,*,*,*,*
School: PEABODY ELEM. (5620),2016,191,*,*,*,*,*,*,*,*
School: PEABODY ELEM. (5620),2015,226,*,*,*,*,*,*,*,*
School: PEABODY ELEM. (5620),2014,307,*,*,*,*,*,*,*,*
School: PEABODY ELEM. (5620),2013,293,*,*,*,*,*,*,*,*
School: ROOSEVELT HIGH (1680),2017,462,*,81.6,*,*,*,*,10.6,*
School: ROOSEVELT HIGH (1680),2016,518,*,81.5,*,*,*,*,13.1,*
School: ROOSEVELT HIGH (1680),2015,625,6.9,72.3,7.8,*,*,*,13,*
School: ROOSEVELT HIGH (1680),2014,776,8.1,74,*,*,*,*,12.5,86.2
School: ROOSEVELT HIGH (1680),2013,906,6.7,74.4,*,*,*,*,13.7,85.7
School: SHAW VISUAL/PERF. ARTS CTR. (5780),2017,382,*,88.5,*,*,*,*,8.9,*
School: SHAW VISUAL/PERF. ARTS CTR. (5780),2016,377,*,87.3,*,*,*,*,9.5,*
School: SHAW VISUAL/PERF. ARTS CTR. (5780),2015,384,*,82.8,*,*,*,*,12.2,*
School: SHAW VISUAL/PERF. ARTS CTR. (5780),2014,372,*,82.3,*,*,*,*,13.2,88.3
School: SHAW VISUAL/PERF. ARTS CTR. (5780),2013,385,*,79.2,*,*,*,*,15.1,88.7
School: SHENANDOAH ELEM. (5800),2017,172,*,91.3,*,*,*,*,*,*
School: SHENANDOAH ELEM. (5800),2016,167,*,92.2,*,*,*,*,*,*
School: SHENANDOAH ELEM. (5800),2015,183,*,92.9,*,*,*,*,*,*
School: SHENANDOAH ELEM. (5800),2014,170,*,90,*,*,*,*,6.5,*
School: SHENANDOAH ELEM. (5800),2013,158,*,89.2,*,*,*,*,*,93.8
School: SHERMAN ELEM. COMM. ED. CTR. (5840),2014,*,*,*,*,*,*,*,*,*
School: SHERMAN ELEM. COMM. ED. CTR. (5840),2013,157,*,90.4,*,*,*,*,*,*
School: SIGEL ELEM. COMM. ED. CTR. (5860),2017,239,*,93.7,*,*,*,*,*,*
School: SIGEL ELEM. COMM. ED. CTR. (5860),2016,236,*,*,*,*,*,*,*,*
School: SIGEL ELEM. COMM. ED. CTR. (5860),2015,259,*,94.6,*,*,*,*,*,*
School: SIGEL ELEM. COMM. ED. CTR. (5860),2014,277,*,91,*,*,*,*,*,*
School: SIGEL ELEM. COMM. ED. CTR. (5860),2013,250,*,91.6,*,*,*,*,*,*
School: SOLDAN INTERNATIONAL STUDIES (1730),2017,574,*,86.4,6.3,*,*,*,*,*
School: SOLDAN INTERNATIONAL STUDIES (1730),2016,593,*,89.2,*,*,*,*,*,*
School: SOLDAN INTERNATIONAL STUDIES (1730),2015,554,6.9,86.5,*,*,*,*,*,*
School: SOLDAN INTERNATIONAL STUDIES (1730),2014,559,*,86.4,*,*,*,*,*,92.2
School: SOLDAN INTERNATIONAL STUDIES (1730),2013,553,*,84.8,*,*,*,*,*,88.3
School: ST. LOUIS CHILDREN'S HOSPITAL (6340),2017,17,*,58.8,*,*,*,*,35.3,*
School: ST. LOUIS CHILDREN'S HOSPITAL (6340),2016,18,*,77.8,*,*,*,*,22.2,*
School: ST. LOUIS CHILDREN'S HOSPITAL (6340),2015,23,*,*,*,*,*,*,*,*
School: ST. LOUIS CHILDREN'S HOSPITAL (6340),2014,12,*,91.7,*,*,*,*,8.3,*
School: ST. LOUIS CHILDREN'S HOSPITAL (6340),2013,*,*,66.7,*,*,*,*,33.3,88.2
School: STEVENS MIDDLE COMMUNITY ED. (3400),2015,*,*,*,*,*,*,*,*,*
School: STEVENS MIDDLE COMMUNITY ED. (3400),2014,*,*,*,*,*,*,*,*,*
School: STEVENS MIDDLE COMMUNITY ED. (3400),2013,*,*,*,*,*,*,*,*,*
School: STIX EARLY CHILDHOOD CTR. (5930),2017,300,*,86,*,*,*,*,11,*
School: STIX EARLY CHILDHOOD CTR. (5930),2016,327,*,86.2,*,*,*,*,8,*
School: STIX EARLY CHILDHOOD CTR. (5930),2015,330,*,86.1,*,*,*,*,10,*
School: STIX EARLY CHILDHOOD CTR. (5930),2014,342,*,86,*,*,*,*,8.8,79.4
