GraduationRates_Chart_SeriesGroup_label,GraduationRates_Chart_SeriesGroup_GraduationRates_Chart_CategoryGroup_label,GraduationRates_Chart_SeriesGroup_GraduationRates_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2017,86.61,,,,,,,,,,,,,,,,,
CLEVELAND NJROTC ACADEMY (1440),2013,140.91,,,,,,,,,,,,,,,,,
CLEVELAND NJROTC ACADEMY (1440),2014,82.09,,,,,,,,,,,,,,,,,
CLEVELAND NJROTC ACADEMY (1440),2015,111.86,,,,,,,,,,,,,,,,,
CLEVELAND NJROTC ACADEMY (1440),2016,67.61,,,,,,,,,,,,,,,,,
CLEVELAND NJROTC ACADEMY (1440),2017,101.72,,,,,,,,,,,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO (1510),2013,,,,,,,,,,,,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO (1510),2014,0,,,,,,,,,,,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO (1510),2015,0,,,,,,,,,,,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO (1510),2016,0,,,,,,,,,,,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO (1510),2017,0,,,,,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING (1222),2013,26.92,,,,,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING (1222),2014,0,,,,,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING (1222),2015,0,,,,,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING (1222),2016,26.32,,,,,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING (1222),2017,22.73,,,,,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE (3390),2013,0,,,,,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE (3390),2014,0,,,,,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE (3390),2015,0,,,,,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE (3390),2016,0,,,,,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE (3390),2017,0,,,,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON (1024),2013,,,,,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON (1024),2014,,,,,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON (1024),2015,,,,,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON (1024),2016,0,,,,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON (1024),2017,0,,,,,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED. (3140),2013,0,,,,,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED. (3140),2014,0,,,,,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED. (3140),2015,0,,,,,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED. (3140),2016,0,,,,,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED. (3140),2017,0,,,,,,,,,,,,,,,,,
GATEWAY HIGH (1220),2013,98.91,,,,,,,,,,,,,,,,,
GATEWAY HIGH (1220),2014,87.88,,,,,,,,,,,,,,,,,
GATEWAY HIGH (1220),2015,72.88,,,,,,,,,,,,,,,,,
GATEWAY HIGH (1220),2016,97.94,,,,,,,,,,,,,,,,,
GATEWAY HIGH (1220),2017,93.23,,,,,,,,,,,,,,,,,
GATEWAY MIDDLE (3230),2013,0,,,,,,,,,,,,,,,,,
GATEWAY MIDDLE (3230),2014,0,,,,,,,,,,,,,,,,,
GATEWAY MIDDLE (3230),2015,0,,,,,,,,,,,,,,,,,
GATEWAY MIDDLE (3230),2016,0,,,,,,,,,,,,,,,,,
GATEWAY MIDDLE (3230),2017,0,,,,,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR (1015),2013,0,,,,,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR (1015),2014,0,,,,,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR (1015),2015,0,,,,,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR (1015),2016,0,,,,,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR (1015),2017,0,,,,,,,,,,,,,,,,,
LANGSTON MIDDLE (3240),2013,0,,,,,,,,,,,,,,,,,
LANGSTON MIDDLE (3240),2014,0,,,,,,,,,,,,,,,,,
LANGSTON MIDDLE (3240),2015,0,,,,,,,,,,,,,,,,,
LANGSTON MIDDLE (3240),2016,0,,,,,,,,,,,,,,,,,
LANGSTON MIDDLE (3240),2017,0,,,,,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2013,0,,,,,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2014,0,,,,,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2015,0,,,,,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2016,0,,,,,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR. (3260),2017,0,,,,,,,,,,,,,,,,,
L'OUVERTURE MIDDLE (3280),2013,0,,,,,,,,,,,,,,,,,
L'OUVERTURE MIDDLE (3280),2014,0,,,,,,,,,,,,,,,,,
L'OUVERTURE MIDDLE (3280),2015,0,,,,,,,,,,,,,,,,,
L'OUVERTURE MIDDLE (3280),2016,0,,,,,,,,,,,,,,,,,
L'OUVERTURE MIDDLE (3280),2017,0,,,,,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2013,100,,,,,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2014,76,,,,,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2015,129.63,,,,,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2016,153.85,,,,,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2017,103.33,,,,,,,,,,,,,,,,,
