DisciplineIncidents_Chart_SeriesGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2016,0.6,,,,,,,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2017,0,,,,,,,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2013,2,,,,,,,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2014,0.9,,,,,,,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2015,0,,,,,,,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2016,0.8,,,,,,,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2017,0,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2013,0,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2014,0,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2015,0,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2016,0,,,,,,,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2017,0,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE,2013,2.2,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE,2014,1.7,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE,2015,5.4,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE,2016,7.3,,,,,,,,,,,,,
COMPTON-DREW ILC MIDDLE,2017,1.5,,,,,,,,,,,,,
COTE BRILLIANTE ELEM.,2013,0,,,,,,,,,,,,,
COTE BRILLIANTE ELEM.,2014,0,,,,,,,,,,,,,
COTE BRILLIANTE ELEM.,2015,0.9,,,,,,,,,,,,,
COTE BRILLIANTE ELEM.,2016,0.5,,,,,,,,,,,,,
COTE BRILLIANTE ELEM.,2017,0.7,,,,,,,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2013,0.5,,,,,,,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2014,0,,,,,,,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2015,0.3,,,,,,,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2016,0.5,,,,,,,,,,,,,
DEWEY SCH.-INTERNAT'L. STUDIES,2017,0.5,,,,,,,,,,,,,
DUNBAR AND BR.,2013,1,,,,,,,,,,,,,
DUNBAR AND BR.,2014,0,,,,,,,,,,,,,
DUNBAR AND BR.,2015,0.5,,,,,,,,,,,,,
DUNBAR AND BR.,2016,0.7,,,,,,,,,,,,,
DUNBAR AND BR.,2017,0,,,,,,,,,,,,,
"EARL NANCE, SR. ELEM.",2013,0,,,,,,,,,,,,,
"EARL NANCE, SR. ELEM.",2014,2.1,,,,,,,,,,,,,
"EARL NANCE, SR. ELEM.",2015,2.1,,,,,,,,,,,,,
"EARL NANCE, SR. ELEM.",2016,3.1,,,,,,,,,,,,,
"EARL NANCE, SR. ELEM.",2017,1.5,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON,2013,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON,2014,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON,2015,,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON,2016,0,,,,,,,,,,,,,
EDUC THERAP SUPPORT AT MADISON,2017,0,,,,,,,,,,,,,
ELIAS MICHAEL ELEM.,2013,0,,,,,,,,,,,,,
ELIAS MICHAEL ELEM.,2014,0,,,,,,,,,,,,,
ELIAS MICHAEL ELEM.,2015,0,,,,,,,,,,,,,
ELIAS MICHAEL ELEM.,2016,0,,,,,,,,,,,,,
ELIAS MICHAEL ELEM.,2017,0,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2013,12.6,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2014,1.5,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2015,4.8,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2016,7.6,,,,,,,,,,,,,
FANNING MIDDLE COMMUNITY ED.,2017,9.5,,,,,,,,,,,,,
FARRAGUT ELEM.,2013,0,,,,,,,,,,,,,
FARRAGUT ELEM.,2014,0,,,,,,,,,,,,,
FARRAGUT ELEM.,2015,0,,,,,,,,,,,,,
FARRAGUT ELEM.,2016,0,,,,,,,,,,,,,
FARRAGUT ELEM.,2017,0,,,,,,,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2013,3.4,,,,,,,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2014,0.8,,,,,,,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2015,0.3,,,,,,,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2016,0.9,,,,,,,,,,,,,
FORD-FORD BR. ELEM. COMM. ED.,2017,1.3,,,,,,,,,,,,,
FROEBEL ELEM.,2013,0,,,,,,,,,,,,,
FROEBEL ELEM.,2014,0,,,,,,,,,,,,,
