DisciplineIncidents_Chart_SeriesGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,
VO. TECH. TUITION,2017,0,,,,,,,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2013,2.2,,,,,,,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2014,0,,,,,,,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2015,1.3,,,,,,,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2016,2.1,,,,,,,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2017,0,,,,,,,,,,,,,
WASHINGTON MONTESSORI,2013,0,,,,,,,,,,,,,
WASHINGTON MONTESSORI,2014,0,,,,,,,,,,,,,
WASHINGTON MONTESSORI,2015,0,,,,,,,,,,,,,
WASHINGTON MONTESSORI,2016,0,,,,,,,,,,,,,
WASHINGTON MONTESSORI,2017,0.4,,,,,,,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2013,0,,,,,,,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2014,0,,,,,,,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2015,0,,,,,,,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2016,0,,,,,,,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2017,0,,,,,,,,,,,,,
WOERNER ELEM.,2013,0.8,,,,,,,,,,,,,
WOERNER ELEM.,2014,0,,,,,,,,,,,,,
WOERNER ELEM.,2015,0.3,,,,,,,,,,,,,
WOERNER ELEM.,2016,0.5,,,,,,,,,,,,,
WOERNER ELEM.,2017,0.7,,,,,,,,,,,,,
WOODWARD ELEM.,2013,0.4,,,,,,,,,,,,,
WOODWARD ELEM.,2014,1.4,,,,,,,,,,,,,
WOODWARD ELEM.,2015,0,,,,,,,,,,,,,
WOODWARD ELEM.,2016,0,,,,,,,,,,,,,
WOODWARD ELEM.,2017,2,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2013,14.6,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2014,13.3,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2015,10.9,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2016,14.3,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2017,7.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name,YEAR,ENROLLMENT,TotalNumberOfIncidents,DSCPLN_INCIDENT_RATE,GRADUATES_ASIAN,DROPOUT_9_12_COHORT_ASIAN,GRADUATES_ASIAN_PCT,GRADUATES_BLACK,DROPOUT_9_12_COHORT_BLACK,GRADUATES_BLACK_PCT,DROPOUT_9_12_COHORT_INDIAN,GRADUATES_INDIAN_PCT,GRADUATES_HISPANIC,DROPOUT_9_12_COHORT_HISPANIC,GRADUATES_HISPANIC_PCT
MILLER CAREER ACADEMY (1100),2013,788,15,1.9,0 | 0.0,7 | 0.9,0 | 0.0,4 | 0.5,1 | 0.1,3 | 0.4,0 | 0.0,15 | 1.9,0 | 0.0,15 | 1.9,0 | 0.0
MILLER CAREER ACADEMY (1100),2014,710,3,0.4,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,2 | 0.3,1 | 0.1,0 | 0.0,3 | 0.4,0 | 0.0,3 | 0.4,0 | 0.0
MILLER CAREER ACADEMY (1100),2015,685,24,3.5,0 | 0.0,7 | 1.0,0 | 0.0,2 | 0.3,3 | 0.4,12 | 1.8,4 | 0.6,20 | 2.9,0 | 0.0,24 | 3.5,0 | 0.0
MILLER CAREER ACADEMY (1100),2016,666,41,6.2,0 | 0.0,8 | 1.2,0 | 0.0,8 | 1.2,1 | 0.2,24 | 3.6,3 | 0.5,38 | 5.7,0 | 0.0,41 | 6.2,0 | 0.0
MILLER CAREER ACADEMY (1100),2017,593,10,1.7,0 | 0.0,1 | 0.2,0 | 0.0,4 | 0.7,1 | 0.2,4 | 0.7,0 | 0.0,10 | 1.7,0 | 0.0,10 | 1.7,0 | 0.0
GATEWAY HIGH (1220),2013,"1,177",35,3,0 | 0.0,11 | 0.9,0 | 0.0,10 | 0.8,3 | 0.3,11 | 0.9,0 | 0.0,35 | 3.0,0 | 0.0,35 | 3.0,0 | 0.0
GATEWAY HIGH (1220),2014,"1,158",22,1.9,0 | 0.0,6 | 0.5,0 | 0.0,1 | 0.1,0 | 0.0,15 | 1.3,0 | 0.0,22 | 1.9,0 | 0.0,22 | 1.9,0 | 0.0
GATEWAY HIGH (1220),2015,"1,121",26,2.3,0 | 0.0,8 | 0.7,0 | 0.0,6 | 0.5,2 | 0.2,10 | 0.9,0 | 0.0,26 | 2.3,0 | 0.0,26 | 2.3,0 | 0.0
GATEWAY HIGH (1220),2016,"1,148",16,1.4,0 | 0.0,5 | 0.4,0 | 0.0,2 | 0.2,2 | 0.2,7 | 0.6,0 | 0.0,16 | 1.4,0 | 0.0,16 | 1.4,0 | 0.0
GATEWAY HIGH (1220),2017,"1,104",7,0.6,0 | 0.0,1 | 0.1,0 | 0.0,2 | 0.2,0 | 0.0,4 | 0.4,0 | 0.0,7 | 0.6,0 | 0.0,7 | 0.6,0 | 0.0
COMMUNITY ACCESS JOB TRAINING (1222),2013,132,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
COMMUNITY ACCESS JOB TRAINING (1222),2014,119,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
COMMUNITY ACCESS JOB TRAINING (1222),2015,136,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
COMMUNITY ACCESS JOB TRAINING (1222),2016,143,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
COMMUNITY ACCESS JOB TRAINING (1222),2017,138,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
BEAUMONT CTE HIGH SCHOOL (1250),2013,152,4,2.6,0 | 0.0,0 | 0.0,0 | 0.0,2 | 1.3,0 | 0.0,2 | 1.3,0 | 0.0,4 | 2.6,0 | 0.0,4 | 2.6,0 | 0.0
BEAUMONT CTE HIGH SCHOOL (1250),2014,63,2,3.2,0 | 0.0,1 | 1.6,0 | 0.0,0 | 0.0,0 | 0.0,1 | 1.6,0 | 0.0,2 | 3.2,0 | 0.0,2 | 3.2,0 | 0.0
BEAUMONT CTE HIGH SCHOOL (1250),2015,442,14,3.2,0 | 0.0,2 | 0.5,0 | 0.0,2 | 0.5,0 | 0.0,10 | 2.3,1 | 0.2,13 | 2.9,0 | 0.0,13 | 2.9,1 | 0.2
BEAUMONT CTE HIGH SCHOOL (1250),2016,456,34,7.5,0 | 0.0,2 | 0.4,0 | 0.0,12 | 2.6,3 | 0.7,17 | 3.7,0 | 0.0,34 | 7.5,0 | 0.0,34 | 7.5,0 | 0.0
BEAUMONT CTE HIGH SCHOOL (1250),2017,575,21,3.7,0 | 0.0,3 | 0.5,0 | 0.0,1 | 0.2,3 | 0.5,14 | 2.4,0 | 0.0,21 | 3.7,0 | 0.0,21 | 3.7,0 | 0.0
CLEVELAND NJROTC ACADEMY (1440),2013,279,10,3.6,0 | 0.0,2 | 0.7,0 | 0.0,3 | 1.1,2 | 0.7,3 | 1.1,0 | 0.0,10 | 3.6,0 | 0.0,10 | 3.6,0 | 0.0
CLEVELAND NJROTC ACADEMY (1440),2014,299,10,3.3,0 | 0.0,4 | 1.3,0 | 0.0,2 | 0.7,0 | 0.0,4 | 1.3,0 | 0.0,10 | 3.3,0 | 0.0,10 | 3.3,0 | 0.0
CLEVELAND NJROTC ACADEMY (1440),2015,290,13,4.5,0 | 0.0,2 | 0.7,0 | 0.0,8 | 2.8,0 | 0.0,3 | 1.0,0 | 0.0,13 | 4.5,0 | 0.0,13 | 4.5,0 | 0.0
CLEVELAND NJROTC ACADEMY (1440),2016,269,12,4.5,0 | 0.0,3 | 1.1,0 | 0.0,1 | 0.4,1 | 0.4,7 | 2.6,0 | 0.0,12 | 4.5,0 | 0.0,12 | 4.5,0 | 0.0
CLEVELAND NJROTC ACADEMY (1440),2017,306,11,3.6,0 | 0.0,6 | 2.0,0 | 0.0,5 | 1.6,0 | 0.0,0 | 0.0,0 | 0.0,11 | 3.6,0 | 0.0,11 | 3.6,0 | 0.0
CARNAHAN SCH. OF THE FUTURE (1500),2013,344,11,3.2,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.3,0 | 0.0,10 | 2.9,0 | 0.0,11 | 3.2,0 | 0.0,11 | 3.2,0 | 0.0
CARNAHAN SCH. OF THE FUTURE (1500),2014,374,7,1.9,0 | 0.0,2 | 0.5,0 | 0.0,3 | 0.8,0 | 0.0,2 | 0.5,0 | 0.0,7 | 1.9,0 | 0.0,7 | 1.9,0 | 0.0
CARNAHAN SCH. OF THE FUTURE (1500),2015,414,20,4.8,0 | 0.0,3 | 0.7,0 | 0.0,8 | 1.9,0 | 0.0,9 | 2.2,5 | 1.2,15 | 3.6,0 | 0.0,19 | 4.6,1 | 0.2
CARNAHAN SCH. OF THE FUTURE (1500),2016,383,22,5.7,0 | 0.0,2 | 0.5,0 | 0.0,10 | 2.6,4 | 1.0,6 | 1.6,2 | 0.5,20 | 5.2,0 | 0.0,22 | 5.7,0 | 0.0
CARNAHAN SCH. OF THE FUTURE (1500),2017,357,8,2.2,0 | 0.0,2 | 0.6,0 | 0.0,3 | 0.8,0 | 0.0,3 | 0.8,0 | 0.0,8 | 2.2,0 | 0.0,8 | 2.2,0 | 0.0
TRANSPORTATION AND LAW (1540),2013,269,18,6.7,0 | 0.0,4 | 1.5,0 | 0.0,8 | 3.0,0 | 0.0,6 | 2.2,0 | 0.0,18 | 6.7,0 | 0.0,18 | 6.7,0 | 0.0
TRANSPORTATION AND LAW (1540),2014,357,42,11.8,0 | 0.0,9 | 2.5,0 | 0.0,3 | 0.8,1 | 0.3,29 | 8.1,0 | 0.0,42 | 11.8,0 | 0.0,42 | 11.8,0 | 0.0
TRANSPORTATION AND LAW (1540),2015,364,17,4.7,0 | 0.0,5 | 1.4,0 | 0.0,2 | 0.5,1 | 0.3,9 | 2.5,0 | 0.0,17 | 4.7,0 | 0.0,17 | 4.7,0 | 0.0
TRANSPORTATION AND LAW (1540),2016,370,42,11.4,0 | 0.0,2 | 0.5,0 | 0.0,12 | 3.2,3 | 0.8,25 | 6.8,0 | 0.0,42 | 11.4,0 | 0.0,42 | 11.4,0 | 0.0
TRANSPORTATION AND LAW (1540),2017,314,23,7.3,0 | 0.0,0 | 0.0,0 | 0.0,18 | 5.7,0 | 0.0,5 | 1.6,0 | 0.0,23 | 7.3,0 | 0.0,23 | 7.3,0 | 0.0
THE COLLEGE PREPARATORY HIGH (1550),2013,437,9,2.1,0 | 0.0,2 | 0.5,0 | 0.0,2 | 0.5,0 | 0.0,5 | 1.1,0 | 0.0,9 | 2.1,0 | 0.0,9 | 2.1,0 | 0.0
THE COLLEGE PREPARATORY HIGH (1550),2014,375,13,3.5,0 | 0.0,2 | 0.5,0 | 0.0,5 | 1.3,0 | 0.0,6 | 1.6,0 | 0.0,13 | 3.5,0 | 0.0,13 | 3.5,0 | 0.0
THE COLLEGE PREPARATORY HIGH (1550),2015,290,8,2.8,0 | 0.0,2 | 0.7,0 | 0.0,2 | 0.7,0 | 0.0,4 | 1.4,0 | 0.0,8 | 2.8,0 | 0.0,8 | 2.8,0 | 0.0
THE COLLEGE PREPARATORY HIGH (1550),,,,,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0
THE COLLEGE PREPARATORY HIGH (1550),,,,,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0
METRO HIGH (1560),2013,316,1,0.3,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.3,0 | 0.0,1 | 0.3,0 | 0.0,1 | 0.3,0 | 0.0
METRO HIGH (1560),2014,335,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
METRO HIGH (1560),2015,335,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
METRO HIGH (1560),2016,334,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
METRO HIGH (1560),2017,340,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2013,411,1,0.2,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.2,0 | 0.0,1 | 0.2,0 | 0.0,1 | 0.2,0 | 0.0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2014,474,3,0.6,0 | 0.0,3 | 0.6,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,3 | 0.6,0 | 0.0,3 | 0.6,0 | 0.0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2015,535,3,0.6,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,2 | 0.4,1 | 0.2,0 | 0.0,3 | 0.6,0 | 0.0,3 | 0.6,0 | 0.0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2016,528,2,0.4,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.2,1 | 0.2,0 | 0.0,2 | 0.4,0 | 0.0,2 | 0.4,0 | 0.0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2017,572,5,0.9,0 | 0.0,1 | 0.2,0 | 0.0,0 | 0.0,1 | 0.2,3 | 0.5,0 | 0.0,5 | 0.9,0 | 0.0,5 | 0.9,0 | 0.0
ROOSEVELT HIGH (1680),2013,906,97,10.7,0 | 0.0,26 | 2.9,0 | 0.0,11 | 1.2,8 | 0.9,52 | 5.7,3 | 0.3,94 | 10.4,0 | 0.0,97 | 10.7,0 | 0.0
ROOSEVELT HIGH (1680),2014,776,97,12.5,0 | 0.0,9 | 1.2,0 | 0.0,12 | 1.5,4 | 0.5,72 | 9.3,11 | 1.4,86 | 11.1,0 | 0.0,97 | 12.5,0 | 0.0
ROOSEVELT HIGH (1680),2015,625,65,10.4,0 | 0.0,10 | 1.6,3 | 0.5,9 | 1.4,0 | 0.0,43 | 6.9,8 | 1.3,57 | 9.1,0 | 0.0,65 | 10.4,0 | 0.0
ROOSEVELT HIGH (1680),2016,518,59,11.4,0 | 0.0,4 | 0.8,0 | 0.0,2 | 0.4,0 | 0.0,53 | 10.2,26 | 5.0,33 | 6.4,0 | 0.0,57 | 11.0,2 | 0.4
ROOSEVELT HIGH (1680),2017,462,47,10.2,0 | 0.0,12 | 2.6,0 | 0.0,7 | 1.5,2 | 0.4,26 | 5.6,5 | 1.1,42 | 9.1,0 | 0.0,47 | 10.2,0 | 0.0
SOLDAN INTERNATIONAL STUDIES (1730),2013,553,5,0.9,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.2,0 | 0.0,4 | 0.7,0 | 0.0,5 | 0.9,0 | 0.0,5 | 0.9,0 | 0.0
SOLDAN INTERNATIONAL STUDIES (1730),2014,559,13,2.3,0 | 0.0,3 | 0.5,0 | 0.0,1 | 0.2,0 | 0.0,9 | 1.6,0 | 0.0,13 | 2.3,0 | 0.0,13 | 2.3,0 | 0.0
SOLDAN INTERNATIONAL STUDIES (1730),2015,554,14,2.5,0 | 0.0,1 | 0.2,0 | 0.0,10 | 1.8,0 | 0.0,3 | 0.5,0 | 0.0,14 | 2.5,0 | 0.0,14 | 2.5,0 | 0.0
SOLDAN INTERNATIONAL STUDIES (1730),2016,593,11,1.9,0 | 0.0,2 | 0.3,0 | 0.0,4 | 0.7,0 | 0.0,5 | 0.8,0 | 0.0,11 | 1.9,0 | 0.0,11 | 1.9,0 | 0.0
SOLDAN INTERNATIONAL STUDIES (1730),2017,574,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
SUMNER HIGH (1800),2013,576,52,9,0 | 0.0,7 | 1.2,0 | 0.0,13 | 2.3,0 | 0.0,32 | 5.6,1 | 0.2,51 | 8.9,0 | 0.0,52 | 9.0,0 | 0.0
SUMNER HIGH (1800),2014,579,59,10.2,0 | 0.0,5 | 0.9,0 | 0.0,8 | 1.4,5 | 0.9,41 | 7.1,4 | 0.7,55 | 9.5,0 | 0.0,57 | 9.8,2 | 0.3
SUMNER HIGH (1800),2015,440,121,27.5,0 | 0.0,15 | 3.4,0 | 0.0,61 | 13.9,4 | 0.9,41 | 9.3,2 | 0.5,119 | 27.0,0 | 0.0,121 | 27.5,0 | 0.0
SUMNER HIGH (1800),2016,356,102,28.7,0 | 0.0,3 | 0.8,0 | 0.0,23 | 6.5,1 | 0.3,75 | 21.1,11 | 3.1,91 | 25.6,0 | 0.0,99 | 27.8,3 | 0.8
SUMNER HIGH (1800),2017,320,22,6.9,0 | 0.0,2 | 0.6,0 | 0.0,3 | 0.9,0 | 0.0,17 | 5.3,3 | 0.9,14 | 4.4,5 | 1.6,22 | 6.9,0 | 0.0
VASHON HIGH (1830),2013,900,89,9.9,0 | 0.0,10 | 1.1,0 | 0.0,27 | 3.0,5 | 0.6,47 | 5.2,2 | 0.2,87 | 9.7,0 | 0.0,88 | 9.8,1 | 0.1
VASHON HIGH (1830),2014,864,103,11.9,0 | 0.0,20 | 2.3,0 | 0.0,16 | 1.9,5 | 0.6,62 | 7.2,4 | 0.5,99 | 11.5,0 | 0.0,103 | 11.9,0 | 0.0
VASHON HIGH (1830),2015,645,173,26.8,0 | 0.0,34 | 5.3,0 | 0.0,25 | 3.9,6 | 0.9,108 | 16.7,3 | 0.5,170 | 26.4,0 | 0.0,173 | 26.8,0 | 0.0
VASHON HIGH (1830),2016,616,84,13.6,0 | 0.0,17 | 2.8,0 | 0.0,3 | 0.5,0 | 0.0,64 | 10.4,0 | 0.0,84 | 13.6,0 | 0.0,84 | 13.6,0 | 0.0
VASHON HIGH (1830),2017,510,78,15.3,0 | 0.0,5 | 1.0,0 | 0.0,12 | 2.4,5 | 1.0,56 | 11.0,0 | 0.0,78 | 15.3,0 | 0.0,78 | 15.3,0 | 0.0
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2013,388,14,3.6,0 | 0.0,4 | 1.0,0 | 0.0,0 | 0.0,2 | 0.5,8 | 2.1,0 | 0.0,14 | 3.6,0 | 0.0,14 | 3.6,0 | 0.0
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2014,402,7,1.7,0 | 0.0,5 | 1.2,0 | 0.0,0 | 0.0,0 | 0.0,2 | 0.5,0 | 0.0,7 | 1.7,0 | 0.0,7 | 1.7,0 | 0.0
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2015,396,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2016,408,0,0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2017,411,2,0.5,0 | 0.0,1 | 0.2,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.2,0 | 0.0,2 | 0.5,0 | 0.0,2 | 0.5,0 | 0.0
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2013,391,57,14.6,0 | 0.0,1 | 0.3,0 | 0.0,10 | 2.6,2 | 0.5,44 | 11.3,2 | 0.5,55 | 14.1,0 | 0.0,57 | 14.6,0 | 0.0
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2014,421,56,13.3,0 | 0.0,5 | 1.2,0 | 0.0,8 | 1.9,3 | 0.7,40 | 9.5,0 | 0.0,56 | 13.3,0 | 0.0,56 | 13.3,0 | 0.0
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2015,358,39,10.9,0 | 0.0,3 | 0.8,0 | 0.0,19 | 5.3,6 | 1.7,11 | 3.1,1 | 0.3,38 | 10.6,0 | 0.0,38 | 10.6,1 | 0.3
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2016,350,50,14.3,0 | 0.0,4 | 1.1,0 | 0.0,19 | 5.4,5 | 1.4,22 | 6.3,0 | 0.0,50 | 14.3,0 | 0.0,50 | 14.3,0 | 0.0
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2017,308,23,7.5,0 | 0.0,2 | 0.6,0 | 0.0,12 | 3.9,1 | 0.3,8 | 2.6,0 | 0.0,23 | 7.5,0 | 0.0,23 | 7.5,0 | 0.0
BUSCH MS CHARACTER & ATHLETICS (3050),2013,353,10,2.8,0 | 0.0,2 | 0.6,0 | 0.0,3 | 0.8,1 | 0.3,4 | 1.1,0 | 0.0,10 | 2.8,0 | 0.0,10 | 2.8,0 | 0.0
BUSCH MS CHARACTER & ATHLETICS (3050),2014,330,8,2.4,0 | 0.0,0 | 0.0,0 | 0.0,7 | 2.1,0 | 0.0,1 | 0.3,1 | 0.3,7 | 2.1,0 | 0.0,8 | 2.4,0 | 0.0
BUSCH MS CHARACTER & ATHLETICS (3050),2015,349,7,2,0 | 0.0,0 | 0.0,0 | 0.0,3 | 0.9,0 | 0.0,4 | 1.1,3 | 0.9,4 | 1.1,0 | 0.0,7 | 2.0,0 | 0.0
BUSCH MS CHARACTER & ATHLETICS (3050),2016,346,8,2.3,0 | 0.0,1 | 0.3,0 | 0.0,2 | 0.6,3 | 0.9,2 | 0.6,2 | 0.6,6 | 1.7,0 | 0.0,8 | 2.3,0 | 0.0
BUSCH MS CHARACTER & ATHLETICS (3050),2017,357,5,1.4,0 | 0.0,0 | 0.0,0 | 0.0,0 | 0.0,4 | 1.1,1 | 0.3,1 | 0.3,4 | 1.1,0 | 0.0,5 | 1.4,0 | 0.0
CARR LANE VPA MIDDLE (3070),2013,559,18,3.2,0 | 0.0,0 | 0.0,0 | 0.0,9 | 1.6,2 | 0.4,7 | 1.3,0 | 0.0,18 | 3.2,0 | 0.0,18 | 3.2,0 | 0.0
CARR LANE VPA MIDDLE (3070),2014,610,12,2,0 | 0.0,2 | 0.3,0 | 0.0,0 | 0.0,0 | 0.0,10 | 1.6,0 | 0.0,12 | 2.0,0 | 0.0,12 | 2.0,0 | 0.0
CARR LANE VPA MIDDLE (3070),2015,557,10,1.8,0 | 0.0,3 | 0.5,0 | 0.0,6 | 1.1,1 | 0.2,0 | 0.0,0 | 0.0,10 | 1.8,0 | 0.0,10 | 1.8,0 | 0.0
CARR LANE VPA MIDDLE (3070),2016,563,7,1.2,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.2,0 | 0.0,6 | 1.1,0 | 0.0,7 | 1.2,0 | 0.0,7 | 1.2,0 | 0.0
CARR LANE VPA MIDDLE (3070),2017,545,27,5,0 | 0.0,4 | 0.7,0 | 0.0,4 | 0.7,0 | 0.0,19 | 3.5,0 | 0.0,27 | 5.0,0 | 0.0,27 | 5.0,0 | 0.0
FANNING MIDDLE COMMUNITY ED. (3140),2013,340,43,12.6,0 | 0.0,2 | 0.6,0 | 0.0,1 | 0.3,2 | 0.6,38 | 11.2,0 | 0.0,43 | 12.6,0 | 0.0,43 | 12.6,0 | 0.0
FANNING MIDDLE COMMUNITY ED. (3140),2014,389,6,1.5,0 | 0.0,1 | 0.3,0 | 0.0,0 | 0.0,0 | 0.0,5 | 1.3,0 | 0.0,6 | 1.5,0 | 0.0,6 | 1.5,0 | 0.0
FANNING MIDDLE COMMUNITY ED. (3140),2015,375,18,4.8,0 | 0.0,1 | 0.3,0 | 0.0,4 | 1.1,1 | 0.3,12 | 3.2,0 | 0.0,18 | 4.8,0 | 0.0,18 | 4.8,0 | 0.0
FANNING MIDDLE COMMUNITY ED. (3140),2016,356,27,7.6,0 | 0.0,0 | 0.0,0 | 0.0,7 | 2.0,3 | 0.8,17 | 4.8,0 | 0.0,27 | 7.6,0 | 0.0,27 | 7.6,0 | 0.0
FANNING MIDDLE COMMUNITY ED. (3140),2017,283,27,9.5,0 | 0.0,1 | 0.4,0 | 0.0,2 | 0.7,2 | 0.7,22 | 7.8,0 | 0.0,27 | 9.5,0 | 0.0,27 | 9.5,0 | 0.0
GATEWAY MIDDLE (3230),2013,569,20,3.5,0 | 0.0,2 | 0.4,0 | 0.0,6 | 1.1,3 | 0.5,9 | 1.6,0 | 0.0,20 | 3.5,0 | 0.0,20 | 3.5,0 | 0.0
GATEWAY MIDDLE (3230),2014,592,24,4.1,0 | 0.0,4 | 0.7,0 | 0.0,13 | 2.2,3 | 0.5,4 | 0.7,0 | 0.0,24 | 4.1,0 | 0.0,24 | 4.1,0 | 0.0
GATEWAY MIDDLE (3230),2015,559,21,3.8,0 | 0.0,6 | 1.1,0 | 0.0,8 | 1.4,2 | 0.4,5 | 0.9,0 | 0.0,21 | 3.8,0 | 0.0,21 | 3.8,0 | 0.0
GATEWAY MIDDLE (3230),2016,564,6,1.1,0 | 0.0,1 | 0.2,0 | 0.0,2 | 0.4,0 | 0.0,3 | 0.5,0 | 0.0,6 | 1.1,0 | 0.0,5 | 0.9,1 | 0.2
GATEWAY MIDDLE (3230),2017,513,18,3.5,0 | 0.0,1 | 0.2,0 | 0.0,9 | 1.8,0 | 0.0,8 | 1.6,0 | 0.0,18 | 3.5,0 | 0.0,18 | 3.5,0 | 0.0
LANGSTON MIDDLE (3240),2013,304,23,7.6,0 | 0.0,2 | 0.7,0 | 0.0,3 | 1.0,2 | 0.7,16 | 5.3,0 | 0.0,23 | 7.6,0 | 0.0,23 | 7.6,0 | 0.0
LANGSTON MIDDLE (3240),2014,278,28,10.1,0 | 0.0,2 | 0.7,0 | 0.0,3 | 1.1,1 | 0.4,22 | 7.9,0 | 0.0,28 | 10.1,0 | 0.0,28 | 10.1,0 | 0.0
LANGSTON MIDDLE (3240),2015,282,21,7.4,0 | 0.0,2 | 0.7,0 | 0.0,1 | 0.4,0 | 0.0,18 | 6.4,0 | 0.0,21 | 7.4,0 | 0.0,21 | 7.4,0 | 0.0
LANGSTON MIDDLE (3240),2016,228,19,8.3,0 | 0.0,1 | 0.4,0 | 0.0,0 | 0.0,0 | 0.0,18 | 7.9,0 | 0.0,19 | 8.3,0 | 0.0,19 | 8.3,0 | 0.0
LANGSTON MIDDLE (3240),2017,182,16,8.8,0 | 0.0,0 | 0.0,0 | 0.0,1 | 0.5,2 | 1.1,13 | 7.1,0 | 0.0,16 | 8.8,0 | 0.0,16 | 8.8,0 | 0.0
