CertificationStatus_Chart_SeriesGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_X,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_Y,,
ACAD OF ENVT SCI/MATH ELEM  (4990),2016,88.9,5.6,6,95.1
ACAD OF ENVT SCI/MATH ELEM  (4990),2017,90,5,5,0
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2013,100,0,0,76.6
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2014,95.5,0,5,80.4
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2015,90.5,0,10,75
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2016,100,0,0,63.3
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2017,100,0,0,0
ADAMS ELEM.  (4000),2013,100,0,0,69.4
ADAMS ELEM.  (4000),2014,100,0,0,98.6
ADAMS ELEM.  (4000),2015,95.7,4.3,0,98.1
ADAMS ELEM.  (4000),2016,100,0,0,100
ADAMS ELEM.  (4000),2017,100,0,0,0
AMES VISUAL/PERF. ARTS  (4250),2013,96.7,0,3,96.6
AMES VISUAL/PERF. ARTS  (4250),2014,100,0,0,100
AMES VISUAL/PERF. ARTS  (4250),2015,100,0,0,98.6
AMES VISUAL/PERF. ARTS  (4250),2016,100,0,0,96.8
AMES VISUAL/PERF. ARTS  (4250),2017,100,0,0,0
ASHLAND ELEM. AND BR.  (4060),2013,85.7,0,14,65.5
ASHLAND ELEM. AND BR.  (4060),2014,95.8,0,4,96.8
ASHLAND ELEM. AND BR.  (4060),2015,96,0,4,95.5
ASHLAND ELEM. AND BR.  (4060),2016,90.5,0,10,94.4
ASHLAND ELEM. AND BR.  (4060),2017,95.5,0,5,0
BEAUMONT CTE HIGH SCHOOL  (1250),2013,88,4,8,86.4
BEAUMONT CTE HIGH SCHOOL  (1250),2014,88.9,7.4,4,90.3
BEAUMONT CTE HIGH SCHOOL  (1250),2015,94.1,0,6,0
BEAUMONT CTE HIGH SCHOOL  (1250),2016,90.5,4.8,5,54.1
BEAUMONT CTE HIGH SCHOOL  (1250),2017,97.4,0,3,0
BRYAN HILL ELEM.  (4180),2013,93.8,0,6,77.5
BRYAN HILL ELEM.  (4180),2014,93.8,0,6,35.3
BRYAN HILL ELEM.  (4180),2015,100,0,0,97
BRYAN HILL ELEM.  (4180),2016,100,0,0,95.8
BRYAN HILL ELEM.  (4180),2017,93.3,0,7,0
BUDER ELEM.  (4200),2013,100,0,0,77
BUDER ELEM.  (4200),2014,100,0,0,100
BUDER ELEM.  (4200),2015,100,0,0,100
BUDER ELEM.  (4200),2016,100,0,0,98.1
BUDER ELEM.  (4200),2017,96.6,3.4,0,0
BUSCH MS CHARACTER & ATHLETICS  (3050),2013,100,0,0,94.3
BUSCH MS CHARACTER & ATHLETICS  (3050),2014,100,0,0,99
BUSCH MS CHARACTER & ATHLETICS  (3050),2015,100,0,0,95.8
BUSCH MS CHARACTER & ATHLETICS  (3050),2016,100,0,0,96.3
BUSCH MS CHARACTER & ATHLETICS  (3050),2017,100,0,0,0
CARDINAL GLENNON HOSPITAL  (6280),2013,0,0,0,0
CARDINAL GLENNON HOSPITAL  (6280),2014,0,0,0,0
CARDINAL GLENNON HOSPITAL  (6280),2015,0,0,0,0
CARDINAL GLENNON HOSPITAL  (6280),2016,0,0,0,0
CARDINAL GLENNON HOSPITAL  (6280),,,,,
CARNAHAN SCH. OF THE FUTURE  (1500),2013,100,0,0,97.3
CARNAHAN SCH. OF THE FUTURE  (1500),2014,92.3,3.8,4,92
CARNAHAN SCH. OF THE FUTURE  (1500),2015,96.6,0,3,88.6
CARNAHAN SCH. OF THE FUTURE  (1500),2016,92.3,0,8,89.8
CARNAHAN SCH. OF THE FUTURE  (1500),2017,96.2,0,4,0
CARR LANE VPA MIDDLE  (3070),2013,97.4,0,3,89.7
CARR LANE VPA MIDDLE  (3070),2014,90.2,2.4,7,78.2
CARR LANE VPA MIDDLE  (3070),2015,92.1,0,8,75.1
CARR LANE VPA MIDDLE  (3070),2016,91.7,0,8,67.7
CARR LANE VPA MIDDLE  (3070),2017,95.1,0,5,0
CENTRAL VISUAL/PERF. ARTS HIGH  (1860),2013,100,0,0,96.4
CENTRAL VISUAL/PERF. ARTS HIGH  (1860),2014,92.1,2.6,5,92
CENTRAL VISUAL/PERF. ARTS HIGH  (1860),2015,100,0,0,89.5
CENTRAL VISUAL/PERF. ARTS HIGH  (1860),2016,96.7,3.3,0,82.5
CENTRAL VISUAL/PERF. ARTS HIGH  (1860),2017,94.1,0,6,0
CLAY ELEM.  (4360),2013,81.3,0,19,92.9
CLAY ELEM.  (4360),2014,84.6,0,15,29.6
CLAY ELEM.  (4360),2015,100,0,0,62.5
CLAY ELEM.  (4360),2016,100,0,0,63.3
CLAY ELEM.  (4360),2017,100,0,0,0
CLEVELAND NJROTC ACADEMY  (1440),2013,92.3,3.8,4,93.1
CLEVELAND NJROTC ACADEMY  (1440),2014,100,0,0,98.9
CLEVELAND NJROTC ACADEMY  (1440),2015,100,0,0,99.4
CLEVELAND NJROTC ACADEMY  (1440),2016,95.8,4.2,0,97.9
CLEVELAND NJROTC ACADEMY  (1440),2017,100,0,0,0
COLE ELEM.  (4400),2013,94.7,0,5,84.9
COLE ELEM.  (4400),2014,90.5,4.8,5,74.3
COLE ELEM.  (4400),2015,77.8,0,22,54.5
COLE ELEM.  (4400),2016,92,0,8,80
COLE ELEM.  (4400),2017,92.9,3.6,4,0
COLLEGIATE SCHOOL OF MED/BIO  (1510),,,,,
COLLEGIATE SCHOOL OF MED/BIO  (1510),2014,100,0,0,95.2
COLLEGIATE SCHOOL OF MED/BIO  (1510),2015,100,0,0,100
COLLEGIATE SCHOOL OF MED/BIO  (1510),2016,100,0,0,85.2
COLLEGIATE SCHOOL OF MED/BIO  (1510),2017,100,0,0,0
COLUMBIA ELEM. COMM. ED. CTR.  (4420),2013,88.9,0,11,95.6
COLUMBIA ELEM. COMM. ED. CTR.  (4420),2014,94.4,0,6,92.5
COLUMBIA ELEM. COMM. ED. CTR.  (4420),2015,100,0,0,66.7
COLUMBIA ELEM. COMM. ED. CTR.  (4420),2016,100,0,0,100
COLUMBIA ELEM. COMM. ED. CTR.  (4420),2017,93.8,0,6,0
COMMUNITY ACCESS JOB TRAINING  (1222),2013,100,0,0,0
COMMUNITY ACCESS JOB TRAINING  (1222),2014,100,0,0,100
COMMUNITY ACCESS JOB TRAINING  (1222),2015,100,0,0,0
COMMUNITY ACCESS JOB TRAINING  (1222),2016,100,0,0,0
COMMUNITY ACCESS JOB TRAINING  (1222),2017,100,0,0,0
COMPTON-DREW ILC MIDDLE  (3390),2013,97.1,0,3,81.4
COMPTON-DREW ILC MIDDLE  (3390),2014,97.1,0,3,80.1
COMPTON-DREW ILC MIDDLE  (3390),2015,100,0,0,76.5
COMPTON-DREW ILC MIDDLE  (3390),2016,100,0,0,73.9
COMPTON-DREW ILC MIDDLE  (3390),2017,97.2,0,3,0
COTE BRILLIANTE ELEM.  (4440),2013,93.8,0,6,72.5
COTE BRILLIANTE ELEM.  (4440),2014,93.8,0,6,69
COTE BRILLIANTE ELEM.  (4440),2015,88.9,0,11,87
COTE BRILLIANTE ELEM.  (4440),2016,100,0,0,63.2
COTE BRILLIANTE ELEM.  (4440),2017,100,0,0,0
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2013,100,0,0,100
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2014,96.7,3.3,0,100
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2015,100,0,0,83.6
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2016,100,0,0,100
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2017,100,0,0,0
DUNBAR AND BR.  (4480),2013,94.1,0,6,94.7
DUNBAR AND BR.  (4480),2014,100,0,0,69.8
DUNBAR AND BR.  (4480),2015,87.5,0,13,42.9
DUNBAR AND BR.  (4480),2016,100,0,0,73.3
DUNBAR AND BR.  (4480),2017,100,0,0,0
"EARL NANCE, SR. ELEM.  (5610)",2013,100,0,0,98.7
"EARL NANCE, SR. ELEM.  (5610)",2014,91.7,0,8,88.1
"EARL NANCE, SR. ELEM.  (5610)",2015,95.8,0,4,93.9
"EARL NANCE, SR. ELEM.  (5610)",2016,95,5,0,94.3
"EARL NANCE, SR. ELEM.  (5610)",2017,95.5,0,5,0
EDUC THERAP SUPPORT AT MADISON  (1024),,,,,
EDUC THERAP SUPPORT AT MADISON  (1024),,,,,
EDUC THERAP SUPPORT AT MADISON  (1024),,,,,
EDUC THERAP SUPPORT AT MADISON  (1024),2016,100,0,0,67.5
EDUC THERAP SUPPORT AT MADISON  (1024),2017,100,0,0,0
ELIAS MICHAEL ELEM.  (5520),2013,90,0,10,66.7
ELIAS MICHAEL ELEM.  (5520),2014,87.5,0,13,61.1
ELIAS MICHAEL ELEM.  (5520),2015,87.5,0,13,71.4
ELIAS MICHAEL ELEM.  (5520),2016,100,0,0,83.3
ELIAS MICHAEL ELEM.  (5520),2017,100,0,0,0
FANNING MIDDLE COMMUNITY ED.  (3140),2013,100,0,0,92.6
FANNING MIDDLE COMMUNITY ED.  (3140),2014,95.5,0,5,88.7
FANNING MIDDLE COMMUNITY ED.  (3140),2015,100,0,0,93.6
FANNING MIDDLE COMMUNITY ED.  (3140),2016,100,0,0,77.6
FANNING MIDDLE COMMUNITY ED.  (3140),2017,100,0,0,0
FARRAGUT ELEM.  (4580),2013,100,0,0,100
FARRAGUT ELEM.  (4580),2014,85.7,0,14,94.1
FARRAGUT ELEM.  (4580),2015,100,0,0,96.4
FARRAGUT ELEM.  (4580),2016,81.8,9.1,9,100
FARRAGUT ELEM.  (4580),2017,92.3,0,8,0
FORD-FORD BR. ELEM. COMM. ED.  (4630),2013,94.1,0,6,97.7
FORD-FORD BR. ELEM. COMM. ED.  (4630),2014,89.5,0,11,64.6
FORD-FORD BR. ELEM. COMM. ED.  (4630),2015,91.3,0,9,66.1
FORD-FORD BR. ELEM. COMM. ED.  (4630),2016,94.4,0,6,86.7
FORD-FORD BR. ELEM. COMM. ED.  (4630),2017,94.4,0,6,0
FROEBEL ELEM.  (4660),2013,100,0,0,96.7
FROEBEL ELEM.  (4660),2014,100,0,0,98.2
FROEBEL ELEM.  (4660),2015,95.5,0,5,96.1
FROEBEL ELEM.  (4660),2016,94.4,0,6,95.1
FROEBEL ELEM.  (4660),2017,100,0,0,0
GATEWAY ELEM.  (4730),2013,100,0,0,99
GATEWAY ELEM.  (4730),2014,100,0,0,96
GATEWAY ELEM.  (4730),2015,97.5,2.5,0,76.9
GATEWAY ELEM.  (4730),2016,97.3,2.7,0,67.4
GATEWAY ELEM.  (4730),2017,97.5,2.5,0,0
GATEWAY HIGH  (1220),2013,97,2,1,88.7
GATEWAY HIGH  (1220),2014,96.3,3.7,0,93
GATEWAY HIGH  (1220),2015,95.3,1.9,3,88.4
GATEWAY HIGH  (1220),2016,94.7,3.2,2,85.8
GATEWAY HIGH  (1220),2017,98.1,1,1,0
GATEWAY MIDDLE  (3230),2013,94.3,2.9,3,85.2
GATEWAY MIDDLE  (3230),2014,94.7,2.6,3,81.1
GATEWAY MIDDLE  (3230),2015,97.6,0,2,70.7
GATEWAY MIDDLE  (3230),2016,95.2,0,5,62.8
GATEWAY MIDDLE  (3230),2017,92.7,2.4,5,0
GRISCOM JUVENILE DETENTION CTR  (1015),,,,,
GRISCOM JUVENILE DETENTION CTR  (1015),,,,,
GRISCOM JUVENILE DETENTION CTR  (1015),2015,100,0,0,59.2
GRISCOM JUVENILE DETENTION CTR  (1015),2016,100,0,0,53.2
GRISCOM JUVENILE DETENTION CTR  (1015),2017,100,0,0,0
HAMILTON ELEM. COMMUNITY ED.  (4780),2013,89.5,5.3,5,67.4
HAMILTON ELEM. COMMUNITY ED.  (4780),2014,92,4,4,98.2
HAMILTON ELEM. COMMUNITY ED.  (4780),2015,88.9,0,11,92.5
HAMILTON ELEM. COMMUNITY ED.  (4780),2016,100,0,0,95.6
HAMILTON ELEM. COMMUNITY ED.  (4780),2017,100,0,0,0
HENRY ELEM.  (4880),2013,100,0,0,97.6
HENRY ELEM.  (4880),2014,100,0,0,94.6
HENRY ELEM.  (4880),2015,87.5,0,13,61.5
HENRY ELEM.  (4880),2016,93.8,6.3,0,64.1
HENRY ELEM.  (4880),2017,95.5,4.5,0,0
HERZOG ELEM.  (4900),2013,100,0,0,96.7
HERZOG ELEM.  (4900),2014,100,0,0,97.2
HERZOG ELEM.  (4900),2015,100,0,0,97.1
HERZOG ELEM.  (4900),2016,100,0,0,67.3
HERZOG ELEM.  (4900),2017,100,0,0,0
HICKEY ELEM.  (4890),2013,100,0,0,100
HICKEY ELEM.  (4890),2014,100,0,0,97.4
HICKEY ELEM.  (4890),2015,100,0,0,100
HICKEY ELEM.  (4890),2016,100,0,0,100
HICKEY ELEM.  (4890),2017,94.1,0,6,0
HODGEN ELEM.  (4920),2013,94.7,0,5,74.6
HODGEN ELEM.  (4920),2014,100,0,0,96.5
HODGEN ELEM.  (4920),2015,100,0,0,100
HODGEN ELEM.  (4920),2016,95,0,5,100
HODGEN ELEM.  (4920),2017,95.2,0,5,0
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2013,89.5,0,11,65.1
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2014,100,0,0,95.8
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2015,91.7,0,8,96
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2016,100,0,0,100
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2017,100,0,0,0
JEFFERSON ELEM.  (5020),2013,100,0,0,100
JEFFERSON ELEM.  (5020),2014,94.4,0,6,70.2
JEFFERSON ELEM.  (5020),2015,93.8,0,6,66.7
JEFFERSON ELEM.  (5020),2016,100,0,0,66.7
JEFFERSON ELEM.  (5020),2017,93.8,0,6,0
KENNARD/CLASSICAL JR. ACAD.  (5030),2013,100,0,0,100
KENNARD/CLASSICAL JR. ACAD.  (5030),2014,100,0,0,100
KENNARD/CLASSICAL JR. ACAD.  (5030),2015,100,0,0,100
KENNARD/CLASSICAL JR. ACAD.  (5030),2016,100,0,0,100
KENNARD/CLASSICAL JR. ACAD.  (5030),2017,100,0,0,0
LACLEDE ELEM.  (5060),2013,100,0,0,95.7
LACLEDE ELEM.  (5060),2014,100,0,0,97.4
LACLEDE ELEM.  (5060),2015,100,0,0,100
LACLEDE ELEM.  (5060),2016,87.5,6.3,6,63.6
LACLEDE ELEM.  (5060),2017,88.2,11.8,0,0
LANGSTON MIDDLE  (3240),2013,90,0,10,77.9
LANGSTON MIDDLE  (3240),2014,100,0,0,84.6
LANGSTON MIDDLE  (3240),2015,82.4,0,18,77.4
LANGSTON MIDDLE  (3240),2016,87.5,0,13,80
LANGSTON MIDDLE  (3240),2017,92.3,0,8,0
LEXINGTON ELEM.  (5100),2013,100,0,0,100
LEXINGTON ELEM.  (5100),2014,100,0,0,95.8
LEXINGTON ELEM.  (5100),2015,87.5,0,13,93.6
LEXINGTON ELEM.  (5100),2016,100,0,0,95.8
LEXINGTON ELEM.  (5100),2017,96.2,0,4,0
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2013,100,0,0,91.8
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2014,100,0,0,67
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2015,100,0,0,89.1
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2016,100,0,0,89
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2017,88.9,0,11,0
L'OUVERTURE MIDDLE  (3280),2013,93.3,0,7,77.4
L'OUVERTURE MIDDLE  (3280),2014,0,0,0,0
L'OUVERTURE MIDDLE  (3280),,,,,
L'OUVERTURE MIDDLE  (3280),,,,,
L'OUVERTURE MIDDLE  (3280),,,,,
LYON AT BLOW ELEM.  (5180),2013,95,0,5,83.8
LYON AT BLOW ELEM.  (5180),2014,93.1,1.7,5,88.6
LYON AT BLOW ELEM.  (5180),2015,90.2,0,10,83.2
LYON AT BLOW ELEM.  (5180),2016,96.9,0,3,76
LYON AT BLOW ELEM.  (5180),2017,92.3,3.8,4,0
MALLINCKRODT A.B.I. ELEM.  (5240),2013,100,0,0,100
MALLINCKRODT A.B.I. ELEM.  (5240),2014,100,0,0,75
MALLINCKRODT A.B.I. ELEM.  (5240),2015,100,0,0,98
MALLINCKRODT A.B.I. ELEM.  (5240),2016,100,0,0,98
MALLINCKRODT A.B.I. ELEM.  (5240),2017,94.7,5.3,0,0
MANN ELEM.  (5260),2013,95.2,0,5,98.1
MANN ELEM.  (5260),2014,100,0,0,96.1
MANN ELEM.  (5260),2015,96,0,4,96.3
MANN ELEM.  (5260),2016,100,0,0,90.2
MANN ELEM.  (5260),2017,100,0,0,0
MASON ELEM.  (5340),2013,96,0,4,96.6
MASON ELEM.  (5340),2014,100,0,0,97.2
MASON ELEM.  (5340),2015,93.3,0,7,95.9
MASON ELEM.  (5340),2016,100,0,0,97
MASON ELEM.  (5340),2017,100,0,0,0
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2013,100,0,0,98.3
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2014,100,0,0,98.5
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2015,100,0,0,95.1
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2016,97.4,0,3,89.8
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2017,95.2,2.4,2,0
MERAMEC ELEM.  (5500),2013,94.1,0,6,94.2
MERAMEC ELEM.  (5500),2014,94.4,5.6,0,97.4
MERAMEC ELEM.  (5500),2015,94.4,5.6,0,100
MERAMEC ELEM.  (5500),2016,100,0,0,100
MERAMEC ELEM.  (5500),2017,100,0,0,0
METRO HIGH  (1560),2013,100,0,0,92.2
METRO HIGH  (1560),2014,100,0,0,98.4
METRO HIGH  (1560),2015,100,0,0,98.4
METRO HIGH  (1560),2016,100,0,0,84.2
METRO HIGH  (1560),2017,100,0,0,0
MILLER CAREER ACADEMY  (1100),2013,96.2,1.9,2,94.3
MILLER CAREER ACADEMY  (1100),2014,100,0,0,94.6
MILLER CAREER ACADEMY  (1100),2015,100,0,0,93.8
MILLER CAREER ACADEMY  (1100),2016,100,0,0,96.6
MILLER CAREER ACADEMY  (1100),2017,97.9,0,2,0
MONROE ELEM.  (5560),2013,100,0,0,79.7
MONROE ELEM.  (5560),2014,86.4,0,14,95.1
MONROE ELEM.  (5560),2015,91.3,0,9,93.1
MONROE ELEM.  (5560),2016,100,0,0,97.9
MONROE ELEM.  (5560),2017,95.5,0,5,0
MULLANPHY BOTANICAL GARDENS  (5590),2013,100,0,0,97.9
MULLANPHY BOTANICAL GARDENS  (5590),2014,97.2,0,3,71.7
MULLANPHY BOTANICAL GARDENS  (5590),2015,100,0,0,100
MULLANPHY BOTANICAL GARDENS  (5590),2016,100,0,0,97.5
MULLANPHY BOTANICAL GARDENS  (5590),2017,100,0,0,0
NAHED CHAPMAN NEW AMERICAN ACA  (4970),,,,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),,,,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),,,,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),2016,100,0,0,80.3
NAHED CHAPMAN NEW AMERICAN ACA  (4970),2017,100,0,0,0
OAK HILL ELEM.  (5600),2013,100,0,0,73.6
OAK HILL ELEM.  (5600),2014,95.8,0,4,94.1
OAK HILL ELEM.  (5600),2015,100,0,0,97.9
OAK HILL ELEM.  (5600),2016,100,0,0,100
OAK HILL ELEM.  (5600),2017,100,0,0,0
PEABODY ELEM.  (5620),2013,100,0,0,97.3
PEABODY ELEM.  (5620),2014,100,0,0,92.1
PEABODY ELEM.  (5620),2015,89.5,0,11,94.7
PEABODY ELEM.  (5620),2016,94.4,5.6,0,97.2
PEABODY ELEM.  (5620),2017,92.9,7.1,0,0
ROOSEVELT HIGH  (1680),2013,95,3.3,2,82.2
ROOSEVELT HIGH  (1680),2014,96.6,0,3,95.3
ROOSEVELT HIGH  (1680),2015,94.4,0,6,84.7
ROOSEVELT HIGH  (1680),2016,95.1,2.4,2,77.3
ROOSEVELT HIGH  (1680),2017,97.7,0,2,0
SHAW VISUAL/PERF. ARTS CTR.  (5780),2013,100,0,0,98.4
SHAW VISUAL/PERF. ARTS CTR.  (5780),2014,100,0,0,98.3
SHAW VISUAL/PERF. ARTS CTR.  (5780),2015,96.9,0,3,98.3
SHAW VISUAL/PERF. ARTS CTR.  (5780),2016,100,0,0,100
SHAW VISUAL/PERF. ARTS CTR.  (5780),2017,100,0,0,0
SHENANDOAH ELEM.  (5800),2013,100,0,0,100
SHENANDOAH ELEM.  (5800),2014,100,0,0,97.1
SHENANDOAH ELEM.  (5800),2015,100,0,0,65.9
SHENANDOAH ELEM.  (5800),2016,100,0,0,82.1
SHENANDOAH ELEM.  (5800),2017,93.3,6.7,0,0
SHERMAN ELEM. COMM. ED. CTR.  (5840),2013,93.3,0,7,89.5
SHERMAN ELEM. COMM. ED. CTR.  (5840),2014,0,0,0,0
SHERMAN ELEM. COMM. ED. CTR.  (5840),,,,,
SHERMAN ELEM. COMM. ED. CTR.  (5840),,,,,
SHERMAN ELEM. COMM. ED. CTR.  (5840),,,,,
SIGEL ELEM. COMM. ED. CTR.  (5860),2013,94.7,5.3,0,98
SIGEL ELEM. COMM. ED. CTR.  (5860),2014,94.4,0,6,93.6
SIGEL ELEM. COMM. ED. CTR.  (5860),2015,100,0,0,100
SIGEL ELEM. COMM. ED. CTR.  (5860),2016,100,0,0,97.4
SIGEL ELEM. COMM. ED. CTR.  (5860),2017,100,0,0,0
SOLDAN INTERNATIONAL STUDIES  (1730),2013,97.6,0,2,93.2
SOLDAN INTERNATIONAL STUDIES  (1730),2014,97.3,2.7,0,94.1
SOLDAN INTERNATIONAL STUDIES  (1730),2015,97.2,0,3,86.6
SOLDAN INTERNATIONAL STUDIES  (1730),2016,95,2.5,3,93
SOLDAN INTERNATIONAL STUDIES  (1730),2017,100,0,0,0
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2013,0,0,0,0
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2014,0,0,0,0
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2015,0,0,0,0
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2016,100,0,0,0
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2017,0,0,0,0
STEVENS MIDDLE COMMUNITY ED.  (3400),2013,0,0,0,0
STEVENS MIDDLE COMMUNITY ED.  (3400),2014,0,0,0,0
STEVENS MIDDLE COMMUNITY ED.  (3400),2015,0,0,0,0
STEVENS MIDDLE COMMUNITY ED.  (3400),,,,,
STEVENS MIDDLE COMMUNITY ED.  (3400),,,,,
STIX EARLY CHILDHOOD CTR.  (5930),2013,100,0,0,100
STIX EARLY CHILDHOOD CTR.  (5930),2014,96,0,4,98.1
STIX EARLY CHILDHOOD CTR.  (5930),2015,100,0,0,100
STIX EARLY CHILDHOOD CTR.  (5930),2016,100,0,0,98
STIX EARLY CHILDHOOD CTR.  (5930),2017,100,0,0,0
SUMNER HIGH  (1800),2013,100,0,0,84
SUMNER HIGH  (1800),2014,97.4,0,3,89.6
SUMNER HIGH  (1800),2015,100,0,0,95.3
SUMNER HIGH  (1800),2016,96.8,0,3,80.4
SUMNER HIGH  (1800),2017,97.3,0,3,0
THE COLLEGE PREPARATORY HIGH  (1550),2013,100,0,0,97.2
THE COLLEGE PREPARATORY HIGH  (1550),2014,100,0,0,92.6
THE COLLEGE PREPARATORY HIGH  (1550),2015,95.2,0,5,88.5
THE COLLEGE PREPARATORY HIGH  (1550),,,,,
THE COLLEGE PREPARATORY HIGH  (1550),,,,,
TRANSPORTATION AND LAW  (1540),2013,89.3,7.1,4,87.2
TRANSPORTATION AND LAW  (1540),2014,87.1,3.2,10,82.3
TRANSPORTATION AND LAW  (1540),2015,90.9,0,9,76.3
TRANSPORTATION AND LAW  (1540),2016,100,0,0,75.9
TRANSPORTATION AND LAW  (1540),2017,96.6,3.4,0,0
VASHON HIGH  (1830),2013,95.1,0,5,82
VASHON HIGH  (1830),2014,97.3,0,3,80.5
VASHON HIGH  (1830),2015,92.7,0,7,78.7
VASHON HIGH  (1830),2016,92.7,0,7,72.3
VASHON HIGH  (1830),2017,91.5,0,9,0
VICC  (9990),2013,0,0,0,0
VICC  (9990),2014,0,0,0,0
VICC  (9990),2015,0,0,0,0
VICC  (9990),2016,0,0,0,0
VICC  (9990),2017,0,0,0,0
VO. TECH. TUITION  (9995),2013,0,0,0,0
VO. TECH. TUITION  (9995),2014,0,0,0,0
VO. TECH. TUITION  (9995),2015,0,0,0,0
VO. TECH. TUITION  (9995),2016,0,0,0,0
VO. TECH. TUITION  (9995),2017,0,0,0,0
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2013,94.4,0,6,70.2
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2014,88.9,5.6,6,64.4
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2015,85.7,7.1,7,62.2
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2016,100,0,0,62.1
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2017,85.7,7.1,7,0
WASHINGTON MONTESSORI  (6010),2013,95.2,0,5,97.7
WASHINGTON MONTESSORI  (6010),2014,100,0,0,100
WASHINGTON MONTESSORI  (6010),2015,95.5,0,5,98.5
WASHINGTON MONTESSORI  (6010),2016,100,0,0,97.8
WASHINGTON MONTESSORI  (6010),2017,100,0,0,0
WILKINSON EARLY CHILDHOOD CTR.  (6030),2013,100,0,0,97
WILKINSON EARLY CHILDHOOD CTR.  (6030),2014,100,0,0,100
WILKINSON EARLY CHILDHOOD CTR.  (6030),2015,100,0,0,96.9
WILKINSON EARLY CHILDHOOD CTR.  (6030),2016,100,0,0,96.3
WILKINSON EARLY CHILDHOOD CTR.  (6030),2017,100,0,0,0
WOERNER ELEM.  (5970),2013,100,0,0,97
WOERNER ELEM.  (5970),2014,100,0,0,100
WOERNER ELEM.  (5970),2015,100,0,0,100
WOERNER ELEM.  (5970),2016,100,0,0,100
WOERNER ELEM.  (5970),2017,100,0,0,0
WOODWARD ELEM.  (6120),2013,100,0,0,100
WOODWARD ELEM.  (6120),2014,100,0,0,100
WOODWARD ELEM.  (6120),2015,96.2,0,4,94.9
WOODWARD ELEM.  (6120),2016,100,0,0,100
WOODWARD ELEM.  (6120),2017,96,0,4,0
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2013,100,0,0,93.2
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2014,92.6,0,7,78.7
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2015,92.6,0,7,83.8
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2016,100,0,0,65.5
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2017,96,0,4,0
