CertificationStatus_Chart_SeriesGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_X,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_Y,,
COMMUNITY ACCESS JOB TRAINING  (1222),2014,2014,100,,
COMMUNITY ACCESS JOB TRAINING  (1222),2015,2015,0,,
COMMUNITY ACCESS JOB TRAINING  (1222),2016,2016,0,,
COMMUNITY ACCESS JOB TRAINING  (1222),2017,2017,0,,
COMPTON-DREW ILC MIDDLE  (3390),2013,2013,81.4,,
COMPTON-DREW ILC MIDDLE  (3390),2014,2014,80.1,,
COMPTON-DREW ILC MIDDLE  (3390),2015,2015,76.5,,
COMPTON-DREW ILC MIDDLE  (3390),2016,2016,73.9,,
COMPTON-DREW ILC MIDDLE  (3390),2017,2017,0,,
COTE BRILLIANTE ELEM.  (4440),2013,2013,72.5,,
COTE BRILLIANTE ELEM.  (4440),2014,2014,69,,
COTE BRILLIANTE ELEM.  (4440),2015,2015,87,,
COTE BRILLIANTE ELEM.  (4440),2016,2016,63.2,,
COTE BRILLIANTE ELEM.  (4440),2017,2017,0,,
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2013,2013,100,,
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2014,2014,100,,
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2015,2015,83.6,,
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2016,2016,100,,
DEWEY SCH.-INTERNAT'L. STUDIES  (4470),2017,2017,0,,
DUNBAR AND BR.  (4480),2013,2013,94.7,,
DUNBAR AND BR.  (4480),2014,2014,69.8,,
DUNBAR AND BR.  (4480),2015,2015,42.9,,
DUNBAR AND BR.  (4480),2016,2016,73.3,,
DUNBAR AND BR.  (4480),2017,2017,0,,
"EARL NANCE, SR. ELEM.  (5610)",2013,2013,98.7,,
"EARL NANCE, SR. ELEM.  (5610)",2014,2014,88.1,,
"EARL NANCE, SR. ELEM.  (5610)",2015,2015,93.9,,
"EARL NANCE, SR. ELEM.  (5610)",2016,2016,94.3,,
"EARL NANCE, SR. ELEM.  (5610)",2017,2017,0,,
EDUC THERAP SUPPORT AT MADISON  (1024),2013,,,,
EDUC THERAP SUPPORT AT MADISON  (1024),2014,,,,
EDUC THERAP SUPPORT AT MADISON  (1024),2015,,,,
EDUC THERAP SUPPORT AT MADISON  (1024),2016,2016,67.5,,
EDUC THERAP SUPPORT AT MADISON  (1024),2017,2017,0,,
ELIAS MICHAEL ELEM.  (5520),2013,2013,66.7,,
ELIAS MICHAEL ELEM.  (5520),2014,2014,61.1,,
ELIAS MICHAEL ELEM.  (5520),2015,2015,71.4,,
ELIAS MICHAEL ELEM.  (5520),2016,2016,83.3,,
ELIAS MICHAEL ELEM.  (5520),2017,2017,0,,
FANNING MIDDLE COMMUNITY ED.  (3140),2013,2013,92.6,,
