National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (33) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00754579,NEW CITY SCHOOL,2,11,5209 WATERMAN BLVD,SAINT LOUIS,29510,510,MO,29,63108,3143616411,165,7,Yes,,55,31,38,39,39,46,47,29,,,,,,,324,269,0,12,3,38,175,4,37,32.6,11,1,1,1,3,1,0,4.46,1.12,14.13,65.06,1.49,13.75,8.25,30,ST. LOUIS CITY,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A0902035,OUR LADY OF SORROWS SCHOOL,2,13,5831 S KINGSHIGHWAY BLVD,SAINT LOUIS,29510,510,MO,29,63109,3143531451,176,6.33,Yes,12,49,42,19,19,13,20,20,23,19,14,,,,,250,201,0,4,4,2,189,2,0,12.4,11,1,1,1,1,1,0,1.99,1.99,1,94.03,1,0,16.21,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00751862,ROSATI-KAIN HIGH SCHOOL,14,17,4389 LINDELL BLVD,SAINT LOUIS,29510,510,MO,29,63108,3145338513,176,6.75,Yes,,,,,,,,,,,,66,59,92,73,290,290,0,6,20,45,206,0,13,23.6,11,2,1,2,1,1,0,2.07,6.9,15.52,71.03,0,4.48,12.29,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
A9707158,SOULARD SCHOOL,2,10,1110 VICTOR ST,SAINT LOUIS,29510,510,MO,29,63104,3148652799,175,7,Yes,,28,16,16,20,12,13,6,,,,,,,,111,83,1,1,5,3,65,0,8,12.6,11,1,1,1,3,1,1.2,1.2,6.02,3.61,78.31,0,9.64,6.59,30,ST. LOUIS CITY,State or regional independent school association,,,,,,,
A1301799,SOUTH CITY COMMUNITY SCHOOL,2,12,4926 REBER PLACE,SAINT LOUIS,29510,510,MO,29,63139,3146674311,169,6.58,Yes,,43,28,11,17,11,13,8,6,2,,,,,,139,96,0,4,2,13,77,0,0,8.6,11,1,6,1,2,1,0,4.17,2.08,13.54,80.21,0,0,11.16,8,ST. LOUIS CITY,Christian Schools International (CSI),Other special emphasis association(s),,,,,,
AA890526,SOUTHSIDE CHRISTIAN ACADEMY,6,16,7300 VIRGINIA AVE,SAINT LOUIS,29510,510,MO,29,63111,3148321231,162,6.5,No,,,,3,1,5,3,1,2,,,2,1,1,,19,19,0,0,1,5,13,0,0,2.1,11,1,1,3,2,1,0,0,5.26,26.32,68.42,0,0,9.05,26,ST. LOUIS CITY,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
00751884,ST AMBROSE SCHOOL,2,13,5110 WILSON AVE,SAINT LOUIS,29510,510,MO,29,63110,3147721437,174,7.25,Yes,,10,19,21,24,22,25,26,26,16,25,,,,,214,204,0,0,9,4,183,0,8,16.3,11,1,1,1,1,1,0,0,4.41,1.96,89.71,0,3.92,12.52,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00750585,ST CECILIA SCHOOL,3,13,906 EICHELBERGER ST,SAINT LOUIS,29510,510,MO,29,63111,3143532455,180,9,Yes,,,16,20,24,25,24,25,21,21,13,,,,,189,189,0,1,161,15,10,1,1,13.8,11,1,1,1,1,1,0,0.53,85.19,7.94,5.29,0.53,0.53,13.7,1,ST. LOUIS CITY,,,,,,,,
00752582,ST FRANCES CABRINI ACADEMY,3,13,3022 OREGON AVE,SAINT LOUIS,29510,510,MO,29,63118,3147760883,178,7.25,No,,,22,24,24,25,19,20,16,18,25,,,,,193,193,0,44,60,35,38,0,16,11.6,11,1,1,1,1,1,0,22.8,31.09,18.13,19.69,0,8.29,16.64,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
00751942,ST GABRIEL THE ARCHANGEL SCHOOL,3,13,4711 TAMM AVE,SAINT LOUIS,29510,510,MO,29,63109,3143531229,176,7.17,Yes,,,75,54,62,64,47,45,51,56,50,,,,,504,504,1,6,12,0,471,1,13,35,11,1,1,1,1,1,0.2,1.19,2.38,0,93.45,0.2,2.58,14.4,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
